CARVER,QUANDL,IB,SECTYPE,CURRENCY,Q_EXCHANGE,IB_EXCHANGE,CONTRACT,MULTIPLIER
AUD,AD,AUD,FUT,USD,CME,GLOBEX,201612,0
AUD,AD,AUD,FUT,USD,CME,GLOBEX,201703,0
BOBL,FGBM,GBM,FUT,EUR,EUREX,DTB,201612,0
BOBL,FGBM,GBM,FUT,EUR,EUREX,DTB,201703,0
CAC,FCE,CAC40,FUT,EUR,LIFFE,MONEP,201611,10
CAC,FCE,CAC40,FUT,EUR,LIFFE,MONEP,201612,10
COPPER,HG,HG,FUT,USD,CME,NYMEX,201612,0
COPPER,HG,HG,FUT,USD,CME,NYMEX,201701,0
CORN,C,ZC,FUT,USD,CME,ECBOT,201709,0
CORN,C,ZC,FUT,USD,CME,ECBOT,201712,0
CRUDE_W,CL,CL,FUT,USD,CME,NYMEX,201611,0
CRUDE_W,CL,CL,FUT,USD,CME,NYMEX,201612,0
EDOLLAR,ED,GE,FUT,USD,CME,GLOBEX,201906,0
EDOLLAR,ED,GE,FUT,USD,CME,GLOBEX,201909,0
EDOLLAR,ED,GE,FUT,USD,CME,GLOBEX,201912,0
EUROSTX,FESX,ESTX50,FUT,EUR,EUREX,DTB,201612,0
EUROSTX,FESX,ESTX50,FUT,EUR,EUREX,DTB,201703,0
GAS_US,NG,NG,FUT,USD,CME,NYMEX,201611,0
GAS_US,NG,NG,FUT,USD,CME,NYMEX,201612,0
GBP,BP,GBP,FUT,USD,CME,GLOBEX,201612,0
GBP,BP,GBP,FUT,USD,CME,GLOBEX,201703,0
GOLD,GC,GC,FUT,USD,CME,NYMEX,201612,0
GOLD,GC,GC,FUT,USD,CME,NYMEX,201702,0
JPY,JY,JPY,FUT,USD,CME,GLOBEX,201612,0
JPY,JY,JPY,FUT,USD,CME,GLOBEX,201703,0
KR10,,FLKTB,FUT,KRW,,KSE,201612,0
KR10,,FLKTB,FUT,KRW,,KSE,201703,0
KR3,,3KTB,FUT,KRW,,KSE,201612,0
KR3,,3KTB,FUT,KRW,,KSE,201703,0
LEANHOG,LN,HE,FUT,USD,CME,GLOBEX,201706,0
LEANHOG,LN,HE,FUT,USD,CME,GLOBEX,201707,0
LIVECOW,LC,LE,FUT,USD,CME,GLOBEX,201708,0
LIVECOW,LC,LE,FUT,USD,CME,GLOBEX,201710,0
MXP,MP,MXP,FUT,USD,CME,GLOBEX,201612,0
MXP,MP,MXP,FUT,USD,CME,GLOBEX,201703,0
NASDAQ,NQ,NQ,FUT,USD,CME,GLOBEX,201612,0
NASDAQ,NQ,NQ,FUT,USD,CME,GLOBEX,201703,0
PALLAD,PA,PA,FUT,USD,CME,NYMEX,201612,0
PALLAD,PA,PA,FUT,USD,CME,NYMEX,201703,0
PLAT,PL,PL,FUT,USD,CME,NYMEX,201610,0
PLAT,PL,PL,FUT,USD,CME,NYMEX,201701,0
SOYBEAN,S,ZS,FUT,USD,CME,ECBOT,201709,0
SOYBEAN,S,ZS,FUT,USD,CME,ECBOT,201711,0
SP500,ES,ES,FUT,USD,CME,GLOBEX,201612,0
SP500,ES,ES,FUT,USD,CME,GLOBEX,201703,0
US2,TU,ZT,FUT,USD,CME,ECBOT,201612,0
US2,TU,ZT,FUT,USD,CME,ECBOT,201703,0
US5,FV,ZF,FUT,USD,CME,ECBOT,201612,0
US5,FV,ZF,FUT,USD,CME,ECBOT,201703,0
V2X,FVS,V2TX,FUT,EUR,EUREX,DTB,201611,0
V2X,FVS,V2TX,FUT,EUR,EUREX,DTB,201612,0
VIX,VX,VIX,FUT,USD,CBOE,CFE,20161116,0
VIX,VX,VIX,FUT,USD,CBOE,CFE,20161221,0
WHEAT,W,ZW,FUT,USD,CME,ECBOT,201709,0
WHEAT,W,ZW,FUT,USD,CME,ECBOT,201712,0
