CAVER,QUANDL,SECTYPE,CURRENCY,EXCHANGE,YEAR,MONTHS,CARRY,PRICE,MULTIPLIER
V2X,FVS,FUT,EUR,EUREX,2016,NQUVXZ,201609,201610,0
V2X,FVS,FUT,EUR,EUREX,2017,FG,201611,201612,0
EDOLLAR,ED,FUT,USD,CME,2019,HMUZ,201903,201906,0
EDOLLAR,ED,FUT,USD,CME,2020,HMUZ,201903,201906,0
MXP,MP,FUT,USD,CME,2016,UZ,201612,201609,0
MXP,MP,FUT,USD,CME,2017,H,201612,201609,0
CORN,C,FUT,USD,CME,2016,UZ,201609,201612,0
CORN,C,FUT,USD,CME,2017,UZ,201709,201712,0
EUROSTX,FESX,FUT,EUR,EUREX,2016,UZ,201612,201609,0
EUROSTX,FESX,FUT,EUR,EUREX,2017,H,201612,201609,0
GAS_US,NG,FUT,USD,CME,2016,QUVXZ,201610,201611,0
GAS_US,NG,FUT,USD,CME,2017,FG,201610,201611,0
PLAT,PL,FUT,USD,CME,2016,V,201701,201610,0
PLAT,PL,FUT,USD,CME,2017,FJ,201701,201610,0
US2,TU,FUT,USD,CME,2016,UZ,201703,201612,0
US2,TU,FUT,USD,CME,2017,HM,201703,201612,0
LEANHOG,LN,FUT,USD,CME,2017,MN,201707,201706,0
GBP,BP,FUT,USD,CME,2016,UZ,201612,201609,0
GBP,BP,FUT,USD,CME,2017,H,201612,201609,0
VIX,VX,FUT,USD,CBOE,2016,NQUVXZ,201609,201610,0
VIX,VX,FUT,USD,CBOE,2017,FG,201611,201612,0
CAC,FCE,FUT,EUR,LIFFE,2016,NQUVXZ,201610,201609,10
CAC,FCE,FUT,EUR,LIFFE,2017,F,201611,201612,10
COPPER,HG,FUT,USD,CME,2016,UVZ,201610,201609,0
COPPER,HG,FUT,USD,CME,2017,F,201610,201609,0
CRUDE_W,CL,FUT,USD,CME,2016,XZ,201611,201612,0
CRUDE_W,CL,FUT,USD,CME,2017,XZ,201711,201712,0
CRUDE_W,CL,FUT,USD,CME,2018,XZ,201811,201812,0
BOBL,FGBM,FUT,EUR,EUREX,2016,UZ,201612,201609,0
BOBL,FGBM,FUT,EUR,EUREX,2017,H,201612,201609,0
WHEAT,W,FUT,USD,CME,2016,UZ,201609,201612,0
WHEAT,W,FUT,USD,CME,2017,UZ,201609,201612,0
JPY,JY,FUT,USD,CME,2016,UZ,201612,201609,0
JPY,JY,FUT,USD,CME,2017,H,201612,201609,0
NASDAQ,NQ,FUT,USD,CME,2016,UZ,201612,201609,0
NASDAQ,NQ,FUT,USD,CME,2017,H,201612,201609,0
GOLD,GC,FUT,USD,CME,2016,QVZ,201702,201612,0
GOLD,GC,FUT,USD,CME,2017,G,201702,201612,0
US5,FV,FUT,USD,CME,2016,UZ,201703,201612,0
US5,FV,FUT,USD,CME,2017,HM,201703,201612,0
SOYBEAN,S,FUT,USD,CME,2016,UX,201609,201611,0
SOYBEAN,S,FUT,USD,CME,2017,UX,201709,201711,0
AUD,AD,FUT,USD,CME,2016,UZ,201612,201609,0
AUD,AD,FUT,USD,CME,2017,H,201612,201609,0
SP500,ES,FUT,USD,CME,2016,UZ,201612,201609,0
SP500,ES,FUT,USD,CME,2017,H,201612,201609,0
PALLAD,PA,FUT,USD,CME,2016,UZ,201612,201609,0
PALLAD,PA,FUT,USD,CME,2017,H,201612,201609,0
LIVECOW,LC,FUT,USD,CME,2016,QV,201608,201610,0
LIVECOW,LC,FUT,USD,CME,2017,QV,201608,201610,0
