CARVER,DATETIME,FROM_PRICE,TO_PRICE,FROM_CARRY,TO_CARRY,DELTA,DONE
AUD,2016-09-12,201609,201612,201612,201703,-0.0017,1
BOBL,2016-08-31,201609,201612,201612,201703,0.0,1
CAC,2016-07-11,201607,201608,201608,201609,-0.5,1
CAC,2016-08-15,201608,201609,201609,201610,-1.5,1
CAC,2016-09-12,201609,201610,201610,201611,-11.5,1
CAC,2016-10-12,201610,201611,201611,201612,-3.0,1
CAC,2016-11-11,201611,201612,201612,201701,-5.5,1
COPPER,2016-09-12,201609,201612,201610,201701,0.004,1
CORN,2016-09-14,201612,201712,201609,201709,41.5,1
CRUDE_W,2016-10-19,201612,201712,201611,201711,3.1700000000000017,1
EDOLLAR,2016-06-13,201906,201909,201903,201906,-0.04999999999999717,1
EDOLLAR,2016-09-12,201909,201912,201906,201909,-0.05000000000001137,1
EUROSTX,2016-09-15,201609,201612,201612,201703,-17.0,1
GAS_US,2016-07-15,201609,201610,201608,201609,0.045,1
GAS_US,2016-08-25,201610,201611,201609,201610,0.125,1
GAS_US,2016-09-26,201611,201612,201610,201611,0.195,1
GAS_US,2016-11-04,201612,201701,201611,201612,0.16999999999999993,1
GAS_US,2016-11-23,201701,201702,201612,201701,0.02900000000000036,1
GBP,2016-09-12,201609,201612,201612,201703,0.0022,1
GOLD,2016-08-03,201608,201612,201610,201702,8.6,1
JPY,2016-09-12,201609,201612,201612,201703,4e-05,1
LIVECOW,2016-09-02,201610,201710,201608,201708,-2.85,1
MXP,2016-09-12,201609,201612,201612,201703,-0.00039,1
NASDAQ,2016-09-09,201609,201612,201612,201703,-3.25,1
PALLAD,2016-09-02,201609,201612,201612,201703,-0.65,1
PLAT,2016-09-29,201610,201701,201701,201704,6.400000000000091,1
SOYBEAN,2016-09-14,201611,201711,201609,201709,-12.0,1
SP500,2016-09-12,201609,201612,201612,201703,-6.5,1
US2,2016-08-24,201609,201612,201612,201703,-0.0625,1
US2,2016-11-23,201612,201703,201703,201706,-0.234375,1
US5,2016-08-24,201609,201612,201612,201703,0.0234375,1
US5,2016-11-23,201612,201703,201703,201706,-0.484375,1
V2X,2016-07-15,201608,201609,201607,201608,0.8,1
V2X,2016-08-16,201609,201610,201608,201609,1.25,1
V2X,2016-09-12,201610,201611,201609,201610,2.0,1
V2X,2016-10-12,201611,201612,201610,201611,-0.6,1
V2X,2016-11-15,201612,201701,201611,201612,1.1999999999999993,1
VIX,2016-07-11,201608,201609,201607,201608,1.45,1
VIX,2016-08-16,201609,201610,201608,201609,1.65,1
VIX,2016-09-12,201610,201611,201609,201610,1.05,1
VIX,2016-10-12,201611,201612,201610,201611,0.4,1
VIX,2016-11-15,201612,201701,201611,201612,1.6500000000000004,1
WHEAT,2016-09-15,201612,201712,201609,201709,85.0,1
