,close,high,low,open,volume
2016-07-18,47.22,47.44,46.81,47.11,1470
2016-07-19,46.88,47.28,46.75,47.19,1254
2016-07-20,47.19,47.54,46.09,46.26,2396
2016-07-21,46.18,47.13,45.93,46.78,1556
2016-07-22,45.59,45.97,45.13,45.96,2347
2016-07-25,44.61,44.88,44.43,44.78,2217
2016-07-26,44.42,44.65,44.07,44.47,2590
2016-07-27,43.32,44.65,43.12,44.39,3661
2016-07-28,42.59,43.41,42.5,43.25,2882
2016-07-29,43.09,43.14,42.07,42.37,2948
2016-08-01,41.62,42.41,41.39,42.29,3498
2016-08-02,41.12,42.48,40.89,42.34,2982
2016-08-03,42.35,42.71,40.77,41.32,5985
2016-08-04,43.47,43.58,42.0,42.11,4807
2016-08-05,43.38,43.57,42.63,43.25,3966
2016-08-08,44.51,44.88,44.14,44.15,5381
2016-08-09,44.25,44.95,43.96,44.74,3517
2016-08-10,43.25,44.86,42.97,44.43,5769
2016-08-11,44.99,45.35,43.4,43.51,4636
2016-08-12,45.89,46.16,45.12,45.25,4775
2016-08-15,47.1,47.27,46.33,46.48,7139
2016-08-16,47.92,48.06,46.95,47.32,8314
