,close,high,low,open,volume
2016-11-23,454.35,455.75,454.9,455.75,4
2016-11-28,450.7,456.0,456.0,456.0,1
2016-11-30,455.2,456.4,451.9,451.9,7
2016-12-02,447.65,448.3,447.8,448.3,2
2016-12-05,452.55,452.9,452.9,452.9,1
2016-12-06,457.35,458.4,458.4,458.4,1
2016-12-08,464.75,464.25,464.1,464.25,4
2016-12-09,467.8,468.1,466.5,466.5,4
2016-12-12,468.5,468.75,467.25,467.25,7
2016-12-13,471.65,472.25,471.65,471.65,3
2016-12-14,470.2,470.7,470.6,470.7,3
2016-12-15,474.65,474.45,471.95,471.95,10
2016-12-16,475.75,476.85,475.9,476.15,14
2016-12-19,478.5,478.5,477.8,477.8,15
2016-12-21,481.35,482.0,482.0,482.0,1
2016-12-22,480.65,480.15,480.15,480.15,1
2016-12-23,481.0,480.75,480.5,480.75,2
2016-12-27,481.7,481.7,481.4,481.5,6
2016-12-28,482.3,481.5,481.25,481.25,2
2016-12-29,480.6,480.5,479.65,480.5,2
2016-12-30,481.2,481.4,480.15,480.75,7
2017-01-02,484.55,484.9,482.2,482.2,5
2017-01-03,485.9,486.3,485.0,486.0,12
2017-01-04,485.55,487.5,484.7,487.5,20
2017-01-05,484.95,485.6,484.6,484.6,7
2017-01-06,485.0,485.0,484.8,484.8,19
2017-01-09,483.1,483.05,483.05,483.05,5
2017-01-10,482.8,482.75,482.35,482.75,4
2017-01-11,484.65,485.0,484.05,485.0,3
2017-01-12,481.15,484.4,481.2,484.4,43
