,close,high,low,open,volume
2016-10-17,163.17,162.25,162.25,162.25,1
2016-10-18,163.44,163.64,163.64,163.64,1
2016-10-24,163.42,164.4,164.4,164.4,1
2016-11-11,159.73,160.24,160.24,160.24,1
2016-11-14,159.22,159.33,159.33,159.33,1
2016-11-15,159.73,160.3,160.3,160.3,1
2016-11-17,159.92,159.8,159.49,159.49,8
2016-11-18,159.88,159.85,159.35,159.45,4
2016-11-22,160.55,159.96,159.96,159.96,1
2016-11-23,159.91,160.05,159.32,160.03,6
2016-11-29,160.5,160.75,160.75,160.75,1
2016-12-01,159.26,158.5,158.5,158.5,1
2016-12-07,159.32,159.89,158.31,158.32,8
2016-12-08,158.09,159.0,157.28,159.0,8
2016-12-09,158.83,159.24,158.05,158.05,29
2016-12-12,157.97,158.11,157.82,158.11,18
2016-12-13,158.54,158.49,158.49,158.49,1
2016-12-14,159.29,159.37,158.81,158.81,214
2016-12-15,158.42,158.42,158.25,158.42,6
2016-12-16,159.03,159.15,159.13,159.15,4
2016-12-19,159.97,160.3,158.95,158.96,26
2016-12-20,159.86,160.09,159.7,159.87,12
2016-12-21,160.09,160.15,159.94,159.99,21
2016-12-22,159.99,159.91,159.82,159.91,68
2016-12-23,160.48,160.44,160.24,160.24,5
2016-12-27,160.98,160.99,160.57,160.57,8
2016-12-28,160.88,161.14,161.12,161.13,22
2016-12-29,161.4,161.31,161.13,161.18,21
2016-12-30,160.96,161.21,160.95,161.16,96
2017-01-02,161.25,161.67,161.22,161.22,31
2017-01-03,159.96,161.25,159.89,161.25,47
2017-01-04,159.96,160.36,160.03,160.11,5
2017-01-05,160.29,160.26,159.63,160.11,18
2017-01-06,159.62,160.32,159.5,160.06,49
2017-01-09,159.76,160.08,159.85,159.89,23
2017-01-10,159.93,159.98,159.84,159.85,7
2017-01-11,160.31,160.78,159.95,160.13,186
2017-01-12,160.74,160.84,160.42,160.84,11
