,close,high,low,open,volume
2016-10-17,1.01115,1.013,1.009425,1.009475,-1
2016-10-18,1.010275,1.0135,1.0086,1.0113,-1
2016-10-19,1.011025,1.01265,1.009525,1.010225,-1
2016-10-20,1.00735,1.015975,1.0067,1.0107,-1
2016-10-21,1.0065,1.00765,1.0038,1.00745,-1
2016-10-24,1.0067,1.0085,1.00435,1.005825,-1
2016-10-25,1.00655,1.0068,1.0001,1.00645,-1
2016-10-26,1.0066,1.009775,1.004125,1.0057,-1
2016-10-27,1.0064,1.008875,1.0049,1.0066,-1
2016-10-28,1.013425,1.01435,1.004975,1.00635,-1
2016-10-31,1.01095,1.01315,1.00935,1.01295,-1
2016-11-01,1.025275,1.027925,1.01025,1.01125,-1
2016-11-02,1.0277,1.03145,1.02515,1.025425,-1
2016-11-03,1.02675,1.0314,1.02455,1.027475,-1
2016-11-04,1.03255,1.033,1.0248,1.026725,-1
2016-11-07,1.02645,1.02775,1.021475,1.026,-1
2016-11-08,1.022525,1.0272,1.021475,1.026275,-1
2016-11-09,1.015775,1.04715,1.0154,1.021675,-1
2016-11-10,1.013425,1.018225,1.0104,1.016,-1
2016-11-11,1.012075,1.01705,1.0108,1.01315,-1
2016-11-14,1.001875,1.0117,0.999775,1.0109,-1
2016-11-15,0.998225,1.007125,0.99755,1.0022,-1
2016-11-16,0.9981,1.00165,0.994225,0.99855,-1
2016-11-17,0.992875,1.00055,0.992675,0.99755,-1
2016-11-18,0.990025,0.994025,0.9878,0.99285,-1
2016-11-21,1.000425,1.000425,0.98845,0.989875,-1
2016-11-22,0.988825,0.99325,0.986725,0.9914,-1
2016-11-23,0.98345,0.990875,0.9821,0.989025,-1
2016-11-24,0.9841,0.985675,0.98115,0.983375,-1
2016-11-25,0.9874,0.9896,0.981725,0.983525,-1
2016-11-28,0.98705,0.992125,0.98345,0.986975,-1
2016-11-29,0.988325,0.98905,0.98265,0.98675,-1
2016-11-30,0.982775,0.9894,0.9799,0.988625,-1
2016-12-01,0.989375,0.990175,0.982775,0.98355,-1
2016-12-02,0.9896,0.993025,0.987875,0.989825,-1
2016-12-05,0.993475,0.995,0.98205,0.987125,-1
2016-12-06,0.9898,0.99505,0.9886,0.993175,-1
2016-12-07,0.992525,0.99345,0.989125,0.990175,-1
2016-12-08,0.9839,0.997925,0.9825,0.99275,-1
2016-12-09,0.98325,0.9849,0.97905,0.9838,-1
2016-12-12,0.986725,0.9877,0.980475,0.982475,-1
2016-12-13,0.98805,0.99005,0.98555,0.98705,-1
2016-12-14,0.980025,0.9917,0.978125,0.988025,-1
2016-12-15,0.97085,0.9806,0.96675,0.979925,-1
2016-12-16,0.974125,0.976425,0.969775,0.971275,-1
2016-12-19,0.9734,0.97835,0.972475,0.97435,-1
2016-12-20,0.972075,0.974625,0.96895,0.9728,-1
2016-12-21,0.9739,0.9778,0.971275,0.972,-1
2016-12-22,0.97495,0.978625,0.973525,0.97365,-1
2016-12-23,0.97305,0.97625,0.972625,0.975025,-1
2016-12-27,0.972725,0.973975,0.97105,0.97365,-1
2016-12-28,0.972475,0.974225,0.96885,0.97265,-1
2016-12-29,0.97765,0.979675,0.972225,0.972325,-1
2016-12-30,0.98195,0.99445,0.977275,0.977525,-1
2017-01-02,0.977275,0.9819,0.976675,0.980925,-1
2017-01-03,0.9733,0.97935,0.96755,0.9765,-1
2017-01-04,0.97955,0.9803,0.971675,0.973175,-1
2017-01-05,0.99035,0.991375,0.97835,0.97865,-1
2017-01-06,0.982175,0.990675,0.98185,0.99065,-1
2017-01-09,0.985025,0.986,0.9806,0.982925,-1
2017-01-10,0.98325,0.98905,0.9825,0.985925,-1
2017-01-11,0.986175,0.98995,0.975775,0.98345,-1
2017-01-12,0.987975,0.9886,0.98525,0.98615,-1
