,close,high,low,open,volume
2016-09-30,2.2105,2.219,2.2015,2.211,26253
2016-10-03,2.192,2.196,2.167,2.1855,29824
2016-10-04,2.167,2.1905,2.163,2.1835,23534
2016-10-05,2.1645,2.177,2.163,2.1765,15550
2016-10-06,2.1555,2.1585,2.1455,2.149,16279
2016-10-07,2.1635,2.183,2.159,2.1775,20577
2016-10-10,2.1975,2.2025,2.18,2.18,33337
2016-10-11,2.1855,2.19,2.17,2.1865,24651
2016-10-12,2.1765,2.1915,2.175,2.184,16147
2016-10-13,2.122,2.1315,2.1165,2.126,33722
2016-10-14,2.1105,2.1245,2.1045,2.119,27487
2016-10-17,2.107,2.112,2.103,2.1115,22446
2016-10-18,2.1055,2.116,2.0915,2.1155,24075
2016-10-19,2.1035,2.111,2.0875,2.0965,31991
2016-10-20,2.096,2.099,2.0845,2.0945,19971
2016-10-21,2.0885,2.099,2.0865,2.092,16128
2016-10-24,2.093,2.0985,2.0895,2.0975,16604
2016-10-25,2.1385,2.1465,2.1305,2.144,30116
2016-10-26,2.1455,2.149,2.135,2.135,23717
2016-10-27,2.1635,2.167,2.151,2.152,26072
2016-10-28,2.1935,2.199,2.1755,2.177,38783
2016-10-31,2.205,2.211,2.1955,2.1955,40190
2016-11-01,2.229,2.233,2.2115,2.2165,50617
2016-11-02,2.2305,2.232,2.214,2.219,28872
2016-11-03,2.249,2.2535,2.235,2.238,33187
2016-11-04,2.265,2.2695,2.2495,2.25,40488
2016-11-07,2.3095,2.317,2.2915,2.293,34674
2016-11-08,2.38,2.3825,2.3225,2.323,73297
2016-11-09,2.4595,2.4645,2.4235,2.454,47480
2016-11-10,2.551,2.562,2.529,2.5415,49619
2016-11-11,2.509,2.622,2.496,2.6035,85048
2016-11-14,2.521,2.534,2.5055,2.5305,35284
2016-11-15,2.505,2.5095,2.4645,2.465,37385
2016-11-16,2.4675,2.479,2.4445,2.4735,28277
2016-11-17,2.491,2.506,2.4755,2.4995,26383
2016-11-18,2.4675,2.488,2.4485,2.4745,26931
2016-11-21,2.515,2.529,2.509,2.51,16113
2016-11-22,2.5445,2.5495,2.5275,2.5355,17994
2016-11-23,2.6075,2.625,2.534,2.5375,39790
2016-11-25,2.668,2.6805,2.642,2.651,14000
2016-11-28,2.6565,2.694,2.645,2.673,15772
2016-11-29,2.595,2.606,2.5735,2.593,1835
2016-11-30,2.6215,2.636,2.6075,2.629,367
2016-12-01,2.6315,2.6395,2.618,2.6185,130
2016-12-02,2.615,2.6245,2.6095,2.611,239
2016-12-05,2.689,2.701,2.683,2.6915,205
2016-12-06,2.672,2.6875,2.6495,2.65,180
2016-12-07,2.637,2.6715,2.6215,2.6715,195
2016-12-08,2.62,2.625,2.615,2.6205,96
2016-12-09,2.642,2.6545,2.6405,2.645,33
2016-12-12,2.613,2.6295,2.5995,2.6295,47
2016-12-13,2.593,2.599,2.561,2.595,45
2016-12-14,2.6,2.601,2.58,2.595,64
2016-12-15,2.596,2.602,2.586,2.586,15
2016-12-16,2.561,2.575,2.539,2.575,204
2016-12-19,2.4965,2.5005,2.475,2.497,49
2016-12-20,2.4995,2.4985,2.485,2.485,26
2016-12-21,2.4915,2.4995,2.49,2.497,38
2016-12-22,2.4945,2.503,2.4925,2.501,60
2016-12-23,2.4725,2.4885,2.472,2.488,28
2016-12-27,2.508,2.513,2.479,2.4835,26
2016-12-28,2.495,2.507,2.4945,2.496,9
