,close,high,low,open,volume
2016-07-18,2932.0,2960.0,2914.0,2944.0,127
2016-07-19,2911.0,2925.0,2890.0,2918.0,81
2016-07-20,2947.0,2950.0,2922.0,2922.0,47
2016-07-21,2952.0,2957.0,2922.0,2946.0,238
2016-07-22,2950.0,2961.0,2930.0,2941.0,45
2016-07-25,2949.0,2975.0,2944.0,2949.0,67
2016-07-26,2961.0,2967.0,2934.0,2952.0,147
2016-07-27,2978.0,2998.0,2968.0,2968.0,138
2016-07-28,2954.0,2982.0,2946.0,2965.0,106
2016-07-29,2967.0,2974.0,2949.0,2964.0,2257
2016-08-01,2952.0,3012.0,2937.0,2991.0,69
2016-08-02,2891.0,2943.0,2882.0,2940.0,837
2016-08-03,2892.0,2903.0,2874.0,2890.0,226
2016-08-04,2910.0,2928.0,2901.0,2911.0,69
2016-08-05,2955.0,2960.0,2915.0,2922.0,143
2016-08-08,2969.0,2980.0,2961.0,2970.0,44
2016-08-09,3013.0,3011.0,2960.0,2960.0,60
2016-08-10,3003.0,3013.0,2998.0,3001.0,44
2016-08-11,3029.0,3033.0,3000.0,3007.0,377
2016-08-12,3031.0,3032.0,3020.0,3026.0,698
2016-08-15,3033.0,3049.0,3027.0,3029.0,79
2016-08-16,2995.0,3022.0,2995.0,3021.0,836
