,close,high,low,open,volume
2016-10-14,3.582,3.599,3.566,3.59,2755
2016-10-17,3.574,3.58,3.537,3.563,2638
2016-10-18,3.599,3.625,3.586,3.606,1888
2016-10-19,3.537,3.553,3.523,3.541,3363
2016-10-20,3.538,3.561,3.495,3.528,1706
2016-10-21,3.474,3.496,3.45,3.489,1562
2016-10-24,3.44,3.458,3.422,3.448,1906
2016-10-25,3.298,3.377,3.266,3.351,6065
2016-10-26,3.167,3.25,3.105,3.227,8121
2016-10-27,3.219,3.24,3.15,3.17,5261
2016-10-28,3.255,3.272,3.22,3.227,3619
2016-10-31,3.199,3.3,3.156,3.296,2895
2016-11-01,3.089,3.13,3.045,3.086,6846
2016-11-02,2.992,3.06,2.969,3.015,6344
2016-11-03,2.969,3.016,2.95,2.976,4954
2016-11-04,2.955,2.986,2.933,2.957,3566
2016-11-07,3.0,3.02,2.965,3.002,3246
2016-11-08,2.854,2.92,2.825,2.907,4450
2016-11-09,2.897,2.945,2.764,2.769,5561
2016-11-10,2.86,2.895,2.796,2.818,5923
2016-11-11,2.899,2.947,2.88,2.897,5861
2016-11-14,2.967,2.987,2.951,2.983,4117
2016-11-15,2.934,2.995,2.918,2.988,4681
2016-11-16,2.961,2.971,2.93,2.956,3997
2016-11-17,2.928,2.96,2.909,2.921,3435
2016-11-18,3.014,3.021,2.991,3.003,2973
2016-11-21,3.106,3.12,3.079,3.085,4360
2016-11-22,3.111,3.143,3.066,3.118,5826
2016-11-23,3.166,3.179,3.092,3.093,4142
2016-11-25,3.224,3.233,3.178,3.181,3178
2016-11-28,3.328,3.35,3.293,3.306,9792
2016-11-29,3.319,3.356,3.275,3.335,10229
2016-11-30,3.328,3.354,3.3,3.341,9769
2016-12-01,3.462,3.49,3.382,3.395,13524
2016-12-02,3.407,3.473,3.353,3.434,8235
2016-12-05,3.598,3.601,3.532,3.532,10526
2016-12-06,3.58,3.643,3.549,3.602,12013
2016-12-07,3.55,3.676,3.504,3.651,13451
2016-12-08,3.631,3.657,3.51,3.562,13333
2016-12-09,3.691,3.703,3.61,3.693,11658
2016-12-12,3.486,3.562,3.452,3.522,11441
2016-12-13,3.456,3.515,3.439,3.51,9644
2016-12-14,3.536,3.563,3.464,3.472,7736
2016-12-15,3.457,3.588,3.411,3.514,18687
2016-12-16,3.436,3.438,3.37,3.372,5405
2016-12-19,3.423,3.47,3.401,3.468,5142
2016-12-20,3.284,3.348,3.281,3.314,7864
2016-12-21,3.527,3.566,3.436,3.437,10273
2016-12-22,3.533,3.6,3.49,3.539,8441
2016-12-23,3.632,3.678,3.586,3.591,9843
2016-12-27,3.708,3.726,3.648,3.67,8761
2016-12-28,3.825,3.828,3.673,3.684,16109
2016-12-29,3.754,3.804,3.706,3.764,13973
2016-12-30,3.684,3.744,3.649,3.743,9987
2017-01-03,3.317,3.44,3.262,3.428,24329
2017-01-04,3.249,3.291,3.224,3.273,18113
2017-01-05,3.268,3.332,3.165,3.24,24218
2017-01-06,3.288,3.328,3.261,3.317,14752
2017-01-09,3.113,3.164,3.11,3.164,27134
2017-01-10,3.275,3.319,3.228,3.236,27503
2017-01-11,3.217,3.318,3.214,3.317,21738
