,close,high,low,open,volume
2016-10-14,1.2219,1.2254,1.2211,1.2254,10
2016-10-17,1.2226,1.2229,1.2205,1.2205,39
2016-10-18,1.2327,1.2355,1.2318,1.2333,47
2016-10-19,1.2305,1.2353,1.2291,1.2338,23
2016-10-20,1.2285,1.2306,1.2252,1.227,29
2016-10-21,1.2264,1.2269,1.2222,1.2223,49
2016-10-24,1.2259,1.2274,1.2228,1.2262,23
2016-10-25,1.2225,1.2242,1.2119,1.216,230
2016-10-26,1.226,1.2276,1.2258,1.2262,59
2016-10-27,1.221,1.2246,1.2185,1.2246,216
2016-10-28,1.2225,1.2244,1.2174,1.2207,122
2016-10-31,1.2278,1.2271,1.218,1.2194,109
2016-11-01,1.2281,1.2284,1.2252,1.2263,98
2016-11-02,1.2321,1.236,1.232,1.2345,108
2016-11-03,1.2491,1.2502,1.246,1.2502,210
2016-11-04,1.2539,1.259,1.2528,1.2528,149
2016-11-07,1.2432,1.2443,1.2414,1.2443,58
2016-11-08,1.2429,1.2433,1.24,1.2404,25
2016-11-09,1.2474,1.2514,1.2399,1.2402,203
2016-11-10,1.2598,1.2609,1.249,1.2497,175
2016-11-11,1.2634,1.2663,1.26,1.265,96
2016-11-14,1.2517,1.2542,1.2478,1.2525,96
2016-11-15,1.2503,1.2548,1.2412,1.245,427
2016-11-16,1.2474,1.2501,1.2449,1.2491,53
2016-11-17,1.2448,1.2494,1.2445,1.2479,72
2016-11-18,1.2397,1.2394,1.2336,1.2383,78
2016-11-21,1.2517,1.2543,1.2493,1.2498,158
2016-11-22,1.2447,1.2471,1.2419,1.2445,467
2016-11-23,1.2473,1.25,1.2398,1.2398,400
2016-11-25,1.249,1.2493,1.2465,1.2465,86
2016-11-28,1.2446,1.2456,1.2426,1.244,95
2016-11-29,1.2538,1.2558,1.2523,1.2527,318
2016-11-30,1.2537,1.255,1.2463,1.2487,367
2016-12-01,1.2613,1.2693,1.2595,1.2691,559
2016-12-02,1.274,1.2767,1.2669,1.268,388
2016-12-05,1.2756,1.2776,1.2731,1.2761,290
2016-12-06,1.2709,1.2787,1.2688,1.2785,640
2016-12-07,1.2652,1.2656,1.26,1.2637,652
2016-12-08,1.2617,1.2654,1.2578,1.2643,696
2016-12-09,1.2597,1.2622,1.2582,1.2611,2442
2016-12-12,1.2701,1.2729,1.2673,1.2694,2324
2016-12-13,1.2692,1.2758,1.2683,1.2744,4735
2016-12-14,1.2629,1.276,1.2559,1.2726,9022
2016-12-15,1.2465,1.2526,1.2404,1.2526,20654
2016-12-16,1.2501,1.2538,1.2431,1.2452,47828
2016-12-19,1.2428,1.2455,1.2383,1.2408,41404
2016-12-20,1.2395,1.24,1.2344,1.2348,37424
2016-12-21,1.2378,1.242,1.2365,1.2401,26435
2016-12-22,1.2312,1.2373,1.2304,1.2358,40171
2016-12-23,1.2299,1.232,1.2267,1.2273,21150
2016-12-27,1.23,1.2309,1.2276,1.2278,13633
2016-12-28,1.2248,1.2268,1.223,1.2246,29580
2016-12-29,1.2274,1.2289,1.2239,1.2258,29928
2016-12-30,1.2358,1.2409,1.2327,1.2369,50977
2017-01-03,1.2254,1.2291,1.2217,1.2279,63278
2017-01-04,1.2333,1.2371,1.2286,1.2308,43381
2017-01-05,1.2427,1.245,1.2326,1.2327,62370
2017-01-06,1.2293,1.2356,1.2278,1.2338,53618
2017-01-09,1.2178,1.2196,1.2145,1.2164,45857
2017-01-10,1.2179,1.2206,1.2164,1.218,34977
2017-01-11,1.2223,1.2289,1.2052,1.2134,123635
