,close,high,low,open,volume
2016-10-14,1262.9,1266.8,1259.6,1259.6,32
2016-10-17,1264.2,1265.1,1262.5,1263.8,14
2016-10-18,1270.6,1272.2,1269.3,1269.4,5
2016-10-19,1277.6,1280.8,1276.9,1278.8,30
2016-10-20,1275.2,1282.3,1273.5,1281.6,28
2016-10-21,1275.1,1275.4,1272.8,1275.4,24
2016-10-24,1270.4,1278.8,1270.0,1278.8,20
2016-10-25,1280.5,1283.2,1275.2,1275.4,58
2016-10-26,1273.5,1280.1,1272.4,1280.1,42
2016-10-27,1276.5,1278.0,1274.9,1276.7,26
2016-10-28,1283.8,1290.8,1275.2,1280.2,95
2016-10-31,1280.3,1286.0,1279.8,1281.1,126
2016-11-01,1295.3,1300.2,1294.0,1296.9,218
2016-11-02,1315.5,1315.7,1304.7,1306.7,121
2016-11-03,1310.8,1311.7,1301.7,1301.7,43
2016-11-04,1312.2,1314.7,1310.0,1313.2,57
2016-11-07,1286.9,1293.5,1286.4,1293.5,74
2016-11-08,1281.9,1297.7,1280.8,1288.8,88
2016-11-09,1280.8,1306.8,1278.3,1306.8,592
2016-11-10,1272.8,1280.5,1258.4,1280.5,297
2016-11-11,1229.6,1259.4,1225.6,1259.4,369
2016-11-14,1227.0,1232.7,1216.5,1222.3,333
2016-11-15,1230.2,1234.9,1227.0,1227.0,196
2016-11-16,1229.8,1235.2,1229.6,1233.7,226
2016-11-17,1222.4,1234.8,1217.4,1230.7,315
2016-11-18,1214.4,1219.6,1211.7,1216.1,96
2016-11-21,1215.5,1221.7,1215.6,1220.6,90
2016-11-22,1217.0,1219.5,1213.2,1219.2,175
2016-11-23,1195.4,1199.1,1187.0,1199.1,583
2016-11-25,1184.1,1196.0,1184.0,1194.9,518
2016-11-28,1197.0,1198.9,1188.3,1193.3,706
2016-11-29,1194.0,1195.5,1187.3,1187.3,785
2016-11-30,1177.0,1187.3,1174.7,1187.1,910
2016-12-01,1172.4,1179.5,1166.3,1171.2,396
2016-12-02,1180.9,1183.1,1178.1,1178.8,365
2016-12-05,1179.5,1180.6,1161.6,1170.7,703
2016-12-06,1172.9,1179.8,1171.8,1176.6,401
2016-12-07,1180.4,1185.1,1177.4,1181.2,429
2016-12-08,1175.4,1178.1,1174.5,1176.3,236
2016-12-09,1164.8,1171.8,1161.2,1171.4,566
2016-12-12,1168.7,1170.7,1161.9,1165.1,329
2016-12-13,1161.9,1166.1,1159.3,1164.5,815
2016-12-14,1166.6,1169.1,1143.5,1168.8,1069
2016-12-15,1132.4,1137.1,1127.2,1136.9,588
2016-12-16,1140.1,1145.8,1132.4,1137.0,644
2016-12-19,1145.4,1146.7,1141.7,1143.4,437
2016-12-20,1136.3,1137.5,1129.9,1131.7,452
2016-12-21,1135.8,1140.6,1134.2,1140.2,320
2016-12-22,1133.3,1138.0,1132.0,1133.7,427
2016-12-23,1136.3,1139.5,1135.2,1135.4,405
2016-12-27,1141.5,1143.9,1139.8,1143.6,374
2016-12-28,1143.6,1146.3,1139.9,1141.0,500
2016-12-29,1160.7,1163.1,1148.8,1149.5,1157
2016-12-30,1154.3,1163.9,1153.3,1161.5,740
2017-01-03,1164.8,1168.4,1151.3,1154.1,1508
2017-01-04,1168.1,1170.4,1164.4,1168.8,753
2017-01-05,1184.1,1188.3,1179.4,1180.4,1096
2017-01-06,1176.3,1182.3,1174.1,1176.5,1470
2017-01-09,1187.9,1189.3,1180.4,1183.5,2605
2017-01-10,1188.5,1193.6,1185.0,1188.3,3059
2017-01-11,1199.7,1201.5,1180.3,1187.3,3369
