,close,high,low,open,volume
2016-07-18,0.009482,0.009521,0.009475,0.009521,26
2016-07-19,0.009487,0.009489,0.009457,0.009458,132
2016-07-20,0.009416,0.009441,0.009405,0.009441,168
2016-07-21,0.009503,0.009518,0.009449,0.009451,363
2016-07-22,0.00948,0.009499,0.009457,0.009498,16
2016-07-25,0.009506,0.009508,0.00948,0.009495,98
2016-07-26,0.009617,0.009638,0.009592,0.009638,261
2016-07-27,0.009543,0.009557,0.0095,0.009504,51
2016-07-28,0.009541,0.009605,0.009534,0.0096,44
2016-07-29,0.009855,0.009852,0.009761,0.009761,84
2016-08-01,0.009822,0.009842,0.009817,0.009822,17
2016-08-02,0.009964,0.009981,0.009927,0.009927,73
2016-08-03,0.00994,0.009938,0.009907,0.009934,28
2016-08-04,0.009936,0.009946,0.009932,0.009936,11
2016-08-05,0.009884,0.009887,0.009856,0.009887,170
2016-08-08,0.009812,0.009821,0.009795,0.009804,41
2016-08-09,0.009869,0.009877,0.00985,0.00985,110
2016-08-10,0.009925,0.009942,0.009918,0.009936,48
2016-08-11,0.009865,0.009935,0.009853,0.009932,37
2016-08-12,0.00993,0.009969,0.009924,0.009952,180
2016-08-15,0.009928,0.00995,0.00993,0.009947,46
2016-08-16,0.010025,0.01003,0.010003,0.010016,86
