,close,high,low,open,volume
2016-10-17,0.000879,0.00088,0.000874,0.000879,-1
2016-10-18,0.000888,0.000889,0.000879,0.000879,-1
2016-10-19,0.000892,0.0008925,0.000888,0.000888,-1
2016-10-20,0.0008835,0.000893,0.000883,0.0008915,-1
2016-10-21,0.00088,0.0008835,0.0008765,0.0008835,-1
2016-10-24,0.00088,0.000885,0.000879,0.000879,-1
2016-10-25,0.0008845,0.0008845,0.000877,0.00088,-1
2016-10-26,0.000877,0.000885,0.000877,0.0008845,-1
2016-10-27,0.000871,0.000879,0.0008705,0.000878,-1
2016-10-28,0.0008715,0.000874,0.0008695,0.000871,-1
2016-10-31,0.0008745,0.0008765,0.00087,0.000871,-1
2016-11-01,0.000872,0.0008775,0.000871,0.0008735,-1
2016-11-02,0.000873,0.000875,0.000868,0.000872,-1
2016-11-03,0.0008735,0.000879,0.000872,0.000872,-1
2016-11-04,0.0008755,0.0008775,0.000872,0.0008735,-1
2016-11-07,0.0008755,0.0008765,0.000873,0.0008765,-1
2016-11-08,0.0008855,0.000886,0.0008755,0.0008755,-1
2016-11-09,0.000863,0.0008855,0.000863,0.0008855,-1
2016-11-10,0.000857,0.000872,0.000856,0.0008635,-1
2016-11-11,0.0008575,0.0008615,0.0008535,0.000857,-1
2016-11-14,0.000855,0.0008575,0.00085,0.0008575,-1
2016-11-15,0.000856,0.000859,0.0008525,0.000855,-1
2016-11-16,0.000854,0.000858,0.0008485,0.000856,-1
2016-11-17,0.000847,0.000855,0.0008465,0.000854,-1
2016-11-18,0.0008465,0.0008515,0.000843,0.000847,-1
2016-11-21,0.000847,0.00085,0.0008425,0.000846,-1
2016-11-22,0.000854,0.000854,0.0008465,0.0008465,-1
2016-11-23,0.000846,0.000855,0.0008435,0.000855,-1
2016-11-24,0.0008455,0.000849,0.0008445,0.0008455,-1
2016-11-25,0.00085,0.000851,0.0008455,0.000847,-1
2016-11-28,0.000853,0.0008555,0.0008495,0.000854,-1
2016-11-29,0.000856,0.000856,0.000851,0.0008545,-1
2016-11-30,0.000849,0.000857,0.000848,0.000855,-1
2016-12-01,0.000856,0.0008565,0.0008475,0.0008475,-1
2016-12-02,0.000856,0.0008585,0.000851,0.0008565,-1
2016-12-05,0.000856,0.000857,0.0008505,0.0008515,-1
2016-12-06,0.0008535,0.000857,0.0008525,0.000856,-1
2016-12-07,0.000863,0.000863,0.0008525,0.0008535,-1
2016-12-08,0.00086,0.000864,0.0008575,0.000863,-1
2016-12-09,0.0008525,0.0008595,0.0008515,0.0008595,-1
2016-12-12,0.0008575,0.0008595,0.0008515,0.0008525,-1
2016-12-13,0.0008585,0.00086,0.000855,0.000857,-1
2016-12-14,0.000847,0.000859,0.0008465,0.0008585,-1
2016-12-15,0.0008445,0.000849,0.000842,0.000847,-1
2016-12-16,0.0008425,0.0008465,0.000842,0.0008435,-1
2016-12-19,0.000841,0.000845,0.0008395,0.000842,-1
2016-12-20,0.0008385,0.000842,0.000836,0.000841,-1
2016-12-21,0.0008375,0.0008385,0.000835,0.0008385,-1
2016-12-22,0.0008295,0.000837,0.000828,0.000837,-1
2016-12-23,0.000833,0.000833,0.000829,0.0008315,-1
2016-12-27,0.0008275,0.00083,0.000827,0.00083,-1
2016-12-28,0.000825,0.0008285,0.000823,0.0008285,-1
2016-12-29,0.0008285,0.000829,0.0008255,0.0008275,-1
2016-12-30,0.000828,0.000833,0.000827,0.0008295,-1
2017-01-02,0.000828,0.000829,0.000827,0.000827,-1
2017-01-03,0.0008285,0.000832,0.0008255,0.00083,-1
2017-01-04,0.000836,0.0008365,0.000827,0.0008285,-1
2017-01-05,0.000845,0.0008465,0.000836,0.000836,-1
2017-01-06,0.000832,0.000846,0.0008315,0.000846,-1
2017-01-09,0.0008305,0.000832,0.000827,0.000832,-1
2017-01-10,0.000832,0.0008375,0.0008305,0.0008305,-1
2017-01-11,0.0008415,0.000844,0.000831,0.000832,-1
2017-01-12,0.00084525,0.0008469,0.0008414,0.0008415,-1
