,close,high,low,open,volume
2016-11-07,74.575,74.775,73.2,73.65,693
2016-11-08,74.875,74.975,74.325,74.575,745
2016-11-09,74.725,74.85,73.8,74.475,811
2016-11-10,74.875,74.95,73.85,74.6,781
2016-11-11,74.85,74.95,74.175,74.875,961
2016-11-14,74.175,74.7,73.5,74.7,287
2016-11-15,73.375,74.175,73.125,74.175,165
2016-11-16,74.5,74.575,73.4,73.45,665
2016-11-17,74.075,74.3,73.8,74.1,260
2016-11-18,73.975,74.2,73.55,73.775,175
2016-11-21,74.725,74.9,73.825,73.875,551
2016-11-22,74.425,74.925,74.225,74.825,272
2016-11-23,74.475,74.725,74.15,74.25,400
2016-11-25,74.95,75.0,74.7,74.75,746
2016-11-28,74.225,75.15,73.975,74.925,550
2016-11-29,73.25,74.125,73.15,74.125,245
2016-11-30,73.45,74.0,73.2,73.525,371
2016-12-01,73.25,73.425,72.45,73.425,335
2016-12-02,73.125,73.4,72.725,73.4,131
2016-12-05,73.475,73.675,73.35,73.35,191
2016-12-06,75.075,75.25,73.575,73.8,835
2016-12-07,76.1,76.15,74.975,74.975,1533
2016-12-08,76.475,76.8,76.075,76.075,988
2016-12-09,76.65,76.775,76.0,76.425,590
2016-12-12,76.625,76.85,76.425,76.525,318
2016-12-13,77.0,77.1,76.35,76.65,433
2016-12-14,76.925,77.125,76.775,77.0,853
2016-12-15,77.225,77.3,76.55,76.575,442
2016-12-16,77.625,77.725,77.2,77.4,416
2016-12-19,77.25,77.625,77.025,77.625,368
2016-12-20,76.25,77.25,76.125,77.175,405
2016-12-21,76.425,76.575,75.85,75.975,353
2016-12-22,76.35,76.825,76.025,76.75,335
2016-12-23,75.425,76.575,74.25,76.45,821
2016-12-27,75.775,75.95,74.25,74.5,456
2016-12-28,74.825,76.175,74.7,76.175,443
2016-12-29,75.5,75.625,74.275,75.1,191
2016-12-30,75.75,76.075,74.975,75.525,809
2017-01-03,75.65,76.55,75.0,76.15,381
2017-01-04,76.225,76.25,75.375,75.8,576
2017-01-05,76.55,76.6,75.9,76.2,324
2017-01-06,76.825,76.9,75.975,76.55,270
2017-01-09,77.175,77.225,76.025,76.9,647
2017-01-10,77.525,77.6,76.975,77.25,929
2017-01-11,77.475,77.75,77.125,77.6,1127
2017-01-12,77.5,77.6,76.95,77.475,864
2017-01-13,77.85,77.9,77.125,77.5,696
2017-01-17,78.15,78.25,77.65,77.9,644
2017-01-18,77.55,78.25,76.925,78.15,715
2017-01-19,78.075,78.175,77.35,77.45,679
2017-01-20,77.4,78.0,77.25,78.0,373
2017-01-23,77.05,77.5,76.5,77.4,585
2017-01-24,77.225,77.325,76.925,77.025,537
2017-01-25,78.25,78.35,77.375,77.675,1528
2017-01-26,76.325,78.35,75.925,78.15,781
2017-01-27,77.35,77.425,75.875,76.475,504
2017-01-30,77.325,77.45,76.8,77.25,486
2017-01-31,77.5,77.975,77.0,77.325,1013
2017-02-01,77.6,77.85,76.7,77.7,395
2017-02-02,77.525,77.625,76.75,77.275,852
2017-02-03,77.875,77.95,77.15,77.5,675
