,close,high,low,open,volume
2016-10-17,91.3,91.75,90.3,90.525,401
2016-10-18,91.95,92.25,90.8,91.6,561
2016-10-19,90.65,92.0,90.5,91.475,563
2016-10-20,92.175,92.4,90.825,90.825,572
2016-10-21,93.35,93.8,92.1,92.275,822
2016-10-24,94.25,95.075,93.65,94.225,1109
2016-10-25,93.95,94.825,93.75,94.15,571
2016-10-26,94.625,94.7,93.65,93.7,431
2016-10-27,94.825,95.35,94.425,94.6,706
2016-10-28,93.975,95.3,93.775,94.95,871
2016-10-31,93.175,94.0,93.1,93.9,750
2016-11-01,95.025,95.2,93.175,93.375,1112
2016-11-02,95.7,95.725,95.0,95.025,1031
2016-11-03,94.875,95.625,94.125,95.25,835
2016-11-04,94.675,94.825,93.95,94.725,648
2016-11-07,93.925,94.65,92.675,94.425,1213
2016-11-08,94.9,95.025,93.425,93.6,812
2016-11-09,94.65,95.1,94.175,94.475,1066
2016-11-10,94.775,95.25,94.5,94.9,1010
2016-11-11,95.3,95.375,94.625,95.025,617
2016-11-14,95.575,95.95,94.825,94.825,837
2016-11-15,96.0,96.025,95.1,95.425,723
2016-11-16,96.95,97.05,95.85,95.85,1132
2016-11-17,97.35,97.5,96.75,97.1,1064
2016-11-18,97.175,97.65,96.85,97.275,1091
2016-11-21,97.375,98.0,96.675,97.275,1255
2016-11-22,97.5,97.6,96.825,97.125,889
2016-11-23,97.9,98.0,97.0,97.25,959
2016-11-25,98.35,98.75,97.875,98.0,1162
2016-11-28,98.475,98.7,97.725,98.0,1033
2016-11-29,98.45,98.575,97.775,98.05,1240
2016-11-30,99.35,99.35,98.35,98.475,1572
2016-12-01,98.825,99.725,98.6,99.5,1468
2016-12-02,97.625,98.8,96.9,98.75,1590
2016-12-05,97.45,98.0,97.175,97.525,782
2016-12-06,98.7,99.0,96.9,97.65,976
2016-12-07,98.95,99.0,97.625,98.425,895
2016-12-08,98.1,98.9,97.5,98.65,1200
2016-12-09,98.0,98.1,97.025,97.6,825
2016-12-12,99.05,99.5,97.575,97.975,2168
2016-12-13,99.7,99.75,99.05,99.175,2388
2016-12-14,99.05,99.85,98.7,99.5,1388
2016-12-15,99.3,99.425,98.325,98.725,1121
2016-12-16,99.75,99.925,99.3,99.4,1274
2016-12-19,99.975,100.0,99.35,99.375,1364
2016-12-20,99.825,100.025,99.1,99.75,1517
2016-12-21,100.325,100.4,99.6,99.6,1835
2016-12-22,100.675,100.75,99.925,100.15,1639
2016-12-23,100.675,100.75,99.4,100.375,1075
2016-12-27,100.45,100.75,100.2,100.425,627
2016-12-28,100.775,100.95,100.3,100.35,712
2016-12-29,100.95,101.0,100.175,100.825,1503
2016-12-30,100.725,101.3,99.85,100.9,1890
2017-01-03,100.275,101.05,99.875,100.825,1817
2017-01-04,100.2,100.5,99.85,100.175,1563
2017-01-05,100.175,100.75,99.925,100.3,1143
2017-01-06,100.225,100.275,99.5,99.875,1287
2017-01-09,101.15,101.325,99.55,100.2,2138
2017-01-10,103.325,103.675,101.1,101.125,3407
2017-01-11,103.2,103.575,102.475,102.975,2304
2017-01-12,102.525,102.7,100.9,102.675,2265
