,close,high,low,open,volume
2016-10-14,650.15,650.15,638.75,643.7,23
2016-10-17,639.65,642.9,637.0,641.55,11
2016-10-18,641.3,649.1,641.5,645.25,15
2016-10-19,637.4,640.8,636.85,638.0,9
2016-10-20,634.7,633.5,631.15,631.15,10
2016-10-21,622.65,627.5,621.0,621.0,51
2016-10-24,632.6,633.95,624.7,628.45,35
2016-10-25,636.7,641.9,636.85,641.9,47
2016-10-26,622.75,632.4,619.9,628.0,49
2016-10-27,615.05,617.85,614.45,615.0,54
2016-10-28,618.15,624.95,617.85,619.25,27
2016-10-31,619.9,622.5,613.7,615.75,63
2016-11-01,636.05,637.95,631.0,632.7,38
2016-11-02,636.4,636.8,630.0,635.2,30
2016-11-03,619.45,626.85,618.85,625.7,43
2016-11-04,626.65,633.15,622.5,622.5,60
2016-11-07,658.2,658.85,633.0,636.15,131
2016-11-08,667.3,671.55,659.85,659.85,120
2016-11-09,683.3,686.0,673.0,683.0,148
2016-11-10,698.05,699.95,687.7,693.95,171
2016-11-11,685.7,690.0,672.4,683.1,94
2016-11-14,697.75,700.0,681.7,685.0,220
2016-11-15,705.7,706.9,699.3,702.0,359
2016-11-16,718.9,719.65,710.7,714.25,749
2016-11-17,729.6,733.8,717.75,718.45,823
2016-11-18,728.25,729.25,711.45,714.75,651
2016-11-21,726.8,731.5,722.6,730.0,986
2016-11-22,744.7,748.1,740.45,747.75,967
2016-11-23,738.55,740.75,725.6,729.65,1347
2016-11-25,742.9,746.5,735.25,735.25,1112
2016-11-28,758.0,762.0,749.5,749.85,2326
2016-11-29,765.25,767.65,758.7,759.55,2151
2016-11-30,772.65,775.75,765.65,773.5,2583
2016-12-01,751.7,758.15,746.95,754.65,3311
2016-12-02,745.5,749.9,740.55,744.45,2189
2016-12-05,746.05,752.2,733.9,733.95,2398
2016-12-06,734.4,747.5,732.6,743.75,2205
2016-12-07,732.65,739.5,729.4,736.6,1427
2016-12-08,739.05,745.95,720.0,722.75,2440
2016-12-09,735.05,743.35,728.5,742.4,1358
2016-12-12,727.55,734.55,722.0,734.45,1490
2016-12-13,730.6,734.35,727.25,732.45,1001
2016-12-14,732.55,734.2,721.55,731.95,1598
2016-12-15,705.65,726.1,696.95,725.4,3165
2016-12-16,697.25,704.7,680.25,683.7,3663
2016-12-19,678.7,687.1,675.8,681.75,2394
2016-12-20,670.85,673.3,663.45,665.6,2466
2016-12-21,659.9,662.1,655.8,661.25,1759
2016-12-22,656.6,662.55,654.85,661.1,1347
2016-12-23,654.85,660.35,653.7,654.75,1138
2016-12-27,673.8,678.5,658.0,658.4,1629
2016-12-28,666.85,678.15,665.5,676.5,1814
2016-12-29,675.65,676.5,670.3,670.95,1170
2016-12-30,683.25,685.2,678.05,679.75,1214
2017-01-03,709.9,719.5,707.1,714.1,2827
2017-01-04,738.8,743.0,735.25,742.2,1685
2017-01-05,738.2,745.4,731.55,742.1,2451
2017-01-06,758.35,759.8,746.7,747.3,2802
2017-01-09,757.15,764.25,755.65,760.85,1795
2017-01-10,765.25,766.3,762.05,762.55,1544
2017-01-11,753.9,759.25,749.45,751.8,2006
