,close,high,low,open,volume
2016-11-07,1005.2,1007.5,995.9,1004.2,30
2016-11-08,1012.5,1020.5,1007.2,1010.9,58
2016-11-09,1007.3,1025.7,1000.0,1025.7,67
2016-11-10,986.0,989.7,977.8,988.1,145
2016-11-11,946.9,972.3,940.0,972.3,163
2016-11-14,937.1,939.5,927.7,937.0,80
2016-11-15,937.7,944.9,934.0,934.0,58
2016-11-16,949.7,952.5,941.1,941.1,48
2016-11-17,948.1,955.1,936.8,944.0,95
2016-11-18,925.0,929.8,919.6,924.9,118
2016-11-21,939.5,944.7,932.0,933.8,140
2016-11-22,946.3,951.5,937.7,948.3,228
2016-11-23,934.2,935.7,922.6,929.9,167
2016-11-25,911.6,917.2,908.7,917.2,138
2016-11-28,926.5,929.0,913.4,914.7,315
2016-11-29,924.6,926.1,920.5,926.1,123
2016-11-30,913.3,920.2,907.8,920.2,228
2016-12-01,914.7,921.2,902.7,905.8,206
2016-12-02,936.1,938.7,929.5,929.9,367
2016-12-05,942.0,944.7,934.0,937.6,233
2016-12-06,939.0,954.6,937.8,941.0,274
2016-12-07,946.6,953.8,944.3,949.2,215
2016-12-08,947.3,948.0,941.0,944.1,209
2016-12-09,918.4,927.6,915.9,926.6,396
2016-12-12,937.0,939.5,931.5,934.2,314
2016-12-13,939.9,942.5,934.4,940.8,234
2016-12-14,943.9,951.5,926.0,950.2,698
2016-12-15,896.5,918.7,893.0,918.3,1063
2016-12-16,936.8,937.6,907.0,909.4,707
2016-12-19,919.8,932.3,918.0,930.6,935
2016-12-20,926.7,927.0,903.6,908.5,1298
2016-12-21,916.5,920.4,912.0,917.9,1632
2016-12-22,908.9,922.6,908.1,916.5,1487
2016-12-23,895.0,907.1,894.0,903.4,2392
2016-12-27,905.9,912.4,904.3,904.9,1982
2016-12-28,902.2,905.8,894.1,900.2,6394
2016-12-29,902.4,909.6,899.8,901.7,6806
2016-12-30,905.7,908.6,902.1,904.3,3134
2017-01-03,944.2,948.8,938.5,941.1,10531
2017-01-04,947.2,952.5,943.6,951.5,5385
2017-01-05,976.0,980.0,970.9,972.4,9056
2017-01-06,970.6,972.9,964.0,964.0,6233
2017-01-09,982.6,986.0,968.3,976.1,6531
2017-01-10,982.8,985.4,978.2,980.3,6325
2017-01-11,976.4,984.3,964.3,976.9,10776
2017-01-12,984.7,993.7,978.1,987.9,7520
2017-01-13,986.4,990.6,968.7,970.6,7403
2017-01-17,983.1,995.2,976.7,993.6,7784
2017-01-18,971.9,979.6,963.5,972.8,5998
2017-01-19,956.4,962.0,951.2,958.0,6674
2017-01-20,976.0,983.9,965.0,968.5,10344
2017-01-23,979.9,987.0,976.8,983.9,5773
2017-01-24,1007.8,1008.7,993.5,993.5,12224
2017-01-25,981.7,991.1,978.0,980.4,8509
2017-01-26,981.7,983.9,974.5,977.0,5079
2017-01-27,983.3,988.5,970.6,971.3,5772
2017-01-30,993.5,995.1,979.0,980.6,5950
2017-01-31,996.5,1002.8,991.0,998.3,7603
2017-02-01,999.8,1003.9,996.8,999.3,5706
2017-02-02,999.6,1010.5,998.5,1008.0,5725
2017-02-03,1006.7,1007.6,995.8,996.6,4904
