,close,high,low,open,volume
2016-10-17,956.5,954.75,954.0,954.0,2
2016-10-18,953.75,956.75,954.75,955.25,7
2016-10-19,960.75,961.0,958.25,958.5,11
2016-10-20,956.25,966.0,955.0,965.5,10
2016-10-21,960.75,961.25,961.0,961.25,3
2016-10-24,962.75,964.75,958.75,964.75,32
2016-10-25,965.25,969.25,960.0,960.0,14
2016-10-26,975.75,976.5,968.5,972.0,58
2016-10-27,975.0,981.5,972.5,972.5,65
2016-10-28,964.0,973.75,964.25,972.0,86
2016-10-31,958.5,965.25,953.5,962.75,61
2016-11-01,948.75,960.5,948.5,960.0,72
2016-11-02,945.75,945.0,943.0,943.0,17
2016-11-03,947.5,953.25,944.5,953.25,7
2016-11-04,948.75,947.5,943.25,945.0,18
2016-11-07,953.25,955.75,949.0,954.25,5
2016-11-08,960.25,970.0,960.75,964.0,17
2016-11-09,955.25,967.25,951.25,967.25,26
2016-11-10,964.25,976.0,963.0,970.0,82
2016-11-11,956.5,965.0,950.0,965.0,22
2016-11-14,954.75,955.0,954.25,955.0,16
2016-11-15,959.5,955.0,953.75,955.0,17
2016-11-16,960.0,961.25,958.75,961.25,3
2016-11-17,965.75,968.5,958.5,958.75,15
2016-11-18,960.0,969.0,960.0,965.0,17
2016-11-21,972.5,977.5,969.25,969.25,133
2016-11-22,974.0,977.75,970.25,970.25,55
2016-11-23,971.0,977.25,965.5,969.0,37
2016-11-25,977.5,977.75,961.75,962.75,29
2016-11-28,982.25,988.0,977.5,985.5,103
2016-11-29,976.5,981.25,975.75,976.75,14
2016-11-30,971.5,978.5,971.25,978.25,19
2016-12-01,972.25,974.5,965.0,967.0,32
2016-12-02,973.75,977.75,975.0,976.0,10
2016-12-05,978.25,988.25,978.25,985.0,62
2016-12-06,978.0,987.0,975.0,983.5,70
2016-12-07,981.5,982.75,974.25,975.0,51
2016-12-08,969.5,975.25,967.0,975.0,37
2016-12-09,984.75,986.5,974.75,974.75,39
2016-12-12,980.75,981.75,977.75,977.75,9
2016-12-13,979.0,984.5,979.0,984.5,13
2016-12-14,976.5,978.0,974.25,974.25,24
2016-12-15,978.75,985.75,976.25,976.25,44
2016-12-16,979.75,981.75,975.0,977.75,37
2016-12-19,974.75,976.75,974.0,974.75,21
2016-12-20,964.5,971.0,964.0,967.0,82
2016-12-21,966.25,968.5,965.0,968.25,23
2016-12-22,958.0,963.75,957.5,962.25,24
2016-12-23,953.75,953.75,953.0,953.75,10
2016-12-27,970.0,970.25,962.5,963.0,54
2016-12-28,965.25,965.25,962.75,964.75,9
2016-12-29,963.0,966.5,962.5,966.5,15
2016-12-30,959.0,960.0,960.0,960.0,15
2017-01-03,955.25,956.25,956.0,956.0,19
2017-01-04,967.25,967.5,964.0,964.0,11
2017-01-05,963.75,964.75,961.25,964.75,14
2017-01-06,954.0,958.0,954.0,958.0,39
2017-01-09,962.5,962.5,953.0,953.0,39
2017-01-10,968.75,967.25,961.25,961.25,37
2017-01-11,965.5,964.5,956.0,962.0,28
2017-01-12,974.0,975.0,956.25,961.0,49
