,close,high,low,open,volume
2016-10-14,2116.25,2125.0,2115.0,2117.0,7
2016-10-17,2112.5,2111.25,2111.25,2111.25,0
2016-10-18,2121.25,2127.5,2118.5,2118.5,14
2016-10-19,2127.5,2128.0,2124.0,2124.0,5
2016-10-20,2126.625,2126.75,2117.5,2120.0,6
2016-10-21,2124.125,2124.0,2123.0,2124.0,3
2016-10-24,2133.75,2136.25,2132.0,2136.25,5
2016-10-25,2127.5,2128.75,2125.25,2127.0,11
2016-10-26,2123.625,2122.5,2122.5,2122.5,1
2016-10-27,2112.875,2125.25,2116.75,2125.0,9
2016-10-28,2113.375,2124.0,2104.0,2118.5,25
2016-10-31,2109.5,2116.75,2116.75,2116.75,0
2016-11-01,2093.0,2108.5,2082.0,2108.5,37
2016-11-02,2081.25,2088.25,2079.25,2087.5,20
2016-11-03,2072.75,2076.5,2069.0,2075.75,14
2016-11-04,2069.0,2082.0,2070.0,2070.0,12
2016-11-07,2118.125,2114.0,2104.75,2105.0,20
2016-11-08,2124.5,2130.25,2116.0,2116.0,33
2016-11-09,2149.0,2154.75,2110.0,2110.0,79
2016-11-10,2156.0,2164.0,2137.5,2163.75,201
2016-11-11,2150.625,2151.0,2137.5,2142.25,38
2016-11-14,2149.875,2156.25,2143.5,2150.75,19
2016-11-15,2169.0,2168.5,2157.25,2158.25,34
2016-11-16,2162.375,2163.0,2159.75,2163.0,5
2016-11-17,2174.125,2175.0,2166.0,2166.0,29
2016-11-18,2170.5,2170.75,2169.0,2170.25,5
2016-11-21,2182.75,2186.0,2178.0,2178.0,19
2016-11-22,2190.125,2191.75,2182.5,2188.75,46
2016-11-23,2190.625,2189.75,2183.0,2185.5,23
2016-11-25,2201.25,2201.0,2195.0,2195.0,20
2016-11-28,2190.75,2198.0,2188.75,2197.0,95
2016-11-29,2193.625,2199.25,2187.5,2188.0,155
2016-11-30,2188.375,2202.0,2187.25,2200.25,95
2016-12-01,2181.5,2189.75,2177.0,2189.75,182
2016-12-02,2181.375,2184.75,2177.0,2183.0,194
2016-12-05,2193.5,2197.5,2188.25,2188.5,114
2016-12-06,2199.25,2201.0,2191.25,2195.75,130
2016-12-07,2226.0,2230.0,2197.75,2198.5,479
2016-12-08,2237.125,2241.0,2226.75,2227.25,344
2016-12-09,2249.375,2250.25,2237.75,2237.75,208
2016-12-12,2245.25,2251.25,2241.5,2246.5,133
2016-12-13,2262.5,2267.25,2254.0,2255.0,304
2016-12-14,2246.75,2265.75,2237.5,2260.0,310
2016-12-15,2253.375,2262.75,2244.75,2245.25,268
2016-12-16,2249.875,2257.25,2244.5,2257.25,803
2016-12-19,2254.75,2258.25,2248.75,2251.25,592
2016-12-20,2261.25,2264.0,2257.25,2259.75,327
2016-12-21,2255.125,2262.5,2253.25,2260.25,597
2016-12-22,2253.25,2254.0,2246.25,2253.25,731
2016-12-23,2254.625,2254.75,2249.0,2250.75,306
2016-12-27,2255.5,2264.0,2255.25,2258.0,331
2016-12-28,2239.75,2261.0,2238.5,2260.75,399
2016-12-29,2239.5,2244.25,2234.0,2240.25,436
2016-12-30,2230.5,2243.75,2222.5,2243.25,1401
2017-01-03,2246.875,2253.5,2234.0,2246.25,527
2017-01-04,2258.5,2261.0,2251.0,2251.0,1005
2017-01-05,2258.5,2259.25,2248.75,2256.25,390
2017-01-06,2265.75,2270.75,2252.75,2258.75,675
2017-01-09,2259.25,2263.75,2258.0,2262.5,512
2017-01-10,2257.75,2268.0,2253.75,2258.25,503
2017-01-11,2264.75,2265.5,2249.5,2257.75,1283
