,close,high,low,open,volume
2016-10-12,129.25,129.328125,129.109375,129.109375,4
2016-10-13,129.625,129.6875,129.515625,129.546875,7
2016-10-14,129.28125,129.625,129.34375,129.359375,7
2016-10-17,129.53125,129.5625,129.453125,129.46875,18
2016-10-18,129.703125,129.75,129.4375,129.4375,10
2016-10-19,129.671875,129.828125,129.828125,129.828125,3
2016-10-20,129.703125,129.75,129.75,129.75,10
2016-10-21,129.78125,129.78125,129.75,129.75,8
2016-10-24,129.625,129.828125,129.53125,129.828125,63
2016-10-25,129.640625,129.765625,129.578125,129.578125,5
2016-10-26,129.390625,129.46875,129.34375,129.390625,38
2016-10-27,128.953125,128.984375,128.75,128.984375,128
2016-10-28,128.984375,129.0625,128.875,128.875,45
2016-10-31,129.046875,129.125,129.03125,129.046875,18
2016-11-01,129.234375,129.0,128.734375,128.796875,423
2016-11-02,129.46875,129.6875,129.265625,129.265625,362
2016-11-03,129.453125,129.5,129.328125,129.328125,8
2016-11-04,129.6875,129.828125,129.65625,129.75,136
2016-11-07,129.28125,129.390625,129.234375,129.375,58
2016-11-08,128.921875,129.28125,128.796875,129.265625,466
2016-11-09,127.390625,128.3125,127.234375,128.3125,1273
2016-11-10,126.90625,127.28125,126.65625,126.921875,992
2016-11-11,126.5,126.9375,126.4375,126.9375,211
2016-11-14,125.96875,126.234375,125.578125,125.921875,2012
2016-11-15,125.75,125.953125,125.703125,125.78125,3171
2016-11-16,125.8125,126.015625,125.53125,125.546875,5935
2016-11-17,125.40625,125.75,125.15625,125.703125,8553
2016-11-18,124.875,125.453125,124.640625,125.34375,8235
2016-11-21,124.875,125.15625,124.84375,124.984375,34411
2016-11-22,125.046875,125.3125,124.984375,125.171875,67895
2016-11-23,124.71875,124.84375,124.1875,124.453125,134974
2016-11-25,124.578125,124.75,124.390625,124.734375,43695
2016-11-28,124.984375,125.078125,124.765625,124.921875,225920
2016-11-29,125.109375,125.171875,124.734375,124.796875,312262
2016-11-30,124.515625,124.625,124.296875,124.484375,1215098
2016-12-01,123.984375,124.09375,123.59375,123.921875,1081762
2016-12-02,124.46875,124.625,124.21875,124.25,680608
2016-12-05,124.46875,124.703125,124.0,124.15625,725786
2016-12-06,124.46875,124.609375,124.390625,124.53125,409427
2016-12-07,124.8125,124.859375,124.640625,124.65625,518109
2016-12-08,124.53125,124.59375,124.296875,124.453125,559760
2016-12-09,124.03125,124.5625,123.875,124.46875,771911
2016-12-12,124.0,124.15625,123.75,123.859375,669486
2016-12-13,123.921875,124.21875,123.828125,124.171875,747658
2016-12-14,123.40625,124.421875,122.953125,124.359375,1203321
2016-12-15,122.921875,123.0625,122.59375,122.984375,933767
2016-12-16,122.828125,123.171875,122.640625,122.921875,776645
2016-12-19,123.265625,123.421875,123.03125,123.25,576936
2016-12-20,123.125,123.21875,122.90625,122.984375,364073
2016-12-21,123.296875,123.375,123.21875,123.328125,250816
2016-12-22,123.265625,123.34375,123.109375,123.125,307354
2016-12-23,123.359375,123.46875,123.328125,123.40625,154499
2016-12-27,123.203125,123.21875,123.09375,123.125,130057
2016-12-28,123.640625,123.6875,123.171875,123.21875,440595
2016-12-29,123.9375,124.078125,123.765625,123.796875,449155
2016-12-30,124.28125,124.328125,123.9375,123.9375,548876
2017-01-03,124.109375,124.1875,123.578125,123.75,911776
2017-01-04,124.109375,124.28125,123.921875,124.03125,660300
2017-01-05,124.828125,125.03125,124.375,124.453125,1113083
2017-01-06,124.40625,124.671875,124.3125,124.484375,629699
2017-01-09,124.78125,124.859375,124.625,124.75,457380
