Date,Settle,Open,High,Low,Volume,Interest
2016-11-21,451.0,0.0,,,,
2016-11-22,454.3,0.0,0.0,0.0,0.0,
2016-11-23,454.35,455.75,455.75,454.9,4.0,
2016-11-24,455.4,0.0,0.0,0.0,0.0,4.0
2016-11-25,455.95,0.0,0.0,0.0,0.0,4.0
2016-11-28,450.7,456.0,456.0,456.0,1.0,4.0
2016-11-29,450.55,0.0,0.0,0.0,0.0,5.0
2016-11-30,455.2,451.9,456.4,451.9,7.0,5.0
2016-12-01,451.65,0.0,0.0,0.0,0.0,11.0
2016-12-02,447.65,448.3,448.3,447.8,2.0,11.0
2016-12-05,452.55,452.9,452.9,452.9,1.0,13.0
2016-12-06,457.35,458.4,458.4,458.4,1.0,13.0
2016-12-07,460.25,0.0,0.0,0.0,0.0,13.0
2016-12-08,464.75,464.25,464.25,464.1,4.0,13.0
2016-12-09,467.8,466.5,468.1,466.5,5.0,17.0
2016-12-12,468.5,467.25,468.75,467.25,7.0,16.0
2016-12-13,471.65,471.65,472.25,471.2,13.0,16.0
2016-12-14,470.2,470.7,470.7,470.6,3.0,15.0
2016-12-15,474.65,471.95,474.45,471.75,54.0,14.0
2016-12-16,475.75,474.5,476.85,474.35,24.0,55.0
2016-12-19,478.5,477.2,478.5,477.2,16.0,54.0
2016-12-20,482.2,0.0,0.0,0.0,0.0,69.0
2016-12-21,481.35,482.0,482.0,481.1,3.0,70.0
2016-12-22,480.65,480.15,480.15,480.15,1.0,72.0
2016-12-23,481.0,480.75,480.9,480.5,48.0,73.0
2016-12-27,481.7,481.5,481.7,481.4,6.0,97.0
2016-12-28,482.3,481.25,481.5,481.25,2.0,101.0
2016-12-29,480.6,480.5,480.5,479.65,2.0,101.0
2016-12-30,481.2,480.75,481.4,480.15,7.0,103.0
2017-01-02,484.55,482.2,484.9,482.2,45.0,100.0
2017-01-03,485.9,486.0,486.75,485.0,168.0,141.0
2017-01-04,485.55,487.5,487.5,484.7,40.0,232.0
2017-01-05,484.95,484.6,485.75,484.6,117.0,242.0
2017-01-06,485.0,484.65,485.0,483.45,112.0,327.0
2017-01-09,483.1,483.05,483.05,483.05,5.0,414.0
2017-01-10,482.8,483.4,483.4,482.35,39.0,414.0
2017-01-11,484.65,484.35,485.45,483.85,29.0,437.0
