Date,Settle,Interest,High,Low,Volume,Open
2016-05-23,4274.5,,,,,0
2016-05-24,4382.5,,0,0,0,0
2016-05-25,4438.5,,0,0,0,0
2016-05-26,4470.5,,4465,4465,10,4465
2016-05-27,4475.5,10,0,0,0,0
2016-05-30,4492,10,0,0,0,0
2016-05-31,4470,10,4483,4478.5,4,4483
2016-06-01,4440,10,0,0,0,0
2016-06-02,4442,10,0,0,0,0
2016-06-03,4399,10,0,0,0,0
2016-06-06,4409,10,0,0,0,0
2016-06-07,4461.5,10,0,0,0,0
2016-06-08,4434,10,0,0,0,0
2016-06-09,4391.5,10,0,0,0,0
2016-06-10,4292,10,4277,4277,1,4277
2016-06-13,4213,10,4200,4187.5,2,4200
2016-06-14,4116,12,4159,4159,1,4159
2016-06-15,4157.5,12,0,0,0,0
2016-06-16,4138,12,4188,4095.5,16,4096
2016-06-17,4183,19,4220.5,4177.5,36,4197.5
2016-06-20,4330.5,34,4336,4304.5,46,4332.5
2016-06-21,4360.5,65,4405.5,4316.5,50,4341
2016-06-22,4374,88,4411,4368,29,4373.5
2016-06-23,4460.5,101,4500,4397,166,4412
2016-06-24,4100,187,4156,3924,448,4051
2016-06-27,3979,242,4101.5,3951,78,4047.5
2016-06-28,4082.5,268,4115.5,4036,88,4036
2016-06-29,4189.5,322,4193.5,4120,53,4120
2016-06-30,4232,344,4288,4155,147,4175
2016-07-01,4268.5,381,4271.5,4215,35,4243
2016-07-04,4232,406,4282,4232.5,371,4282
2016-07-05,4160.5,613,4218,4133,301,4218
2016-07-06,4083,607,4129.5,4061.5,386,4129.5
2016-07-07,4115,777,4157.5,4095,94,4112.5
2016-07-08,4188.5,825,4206,4103,538,4103
2016-07-11,4264,882,4269,4206,57814,4218
2016-07-12,4329,49264,4341,4254,125944,4257
2016-07-13,4334,133266,4357,4316,119606,4323
2016-07-14,4385,208681,4401.5,4340.5,63991,4341
2016-07-15,4372.5,229665,4384.5,4342,87650,4358.5
2016-07-18,4357,246476,4408.5,4333.5,69991,4372.5
2016-07-19,4329.5,247024,4357.5,4303,71295,4344.5
2016-07-20,4378.5,248263,4392,4330.5,66864,4341
2016-07-21,4379,247442,4390.5,4339,70641,4372.5
2016-07-22,4380,251238,4399,4342.5,64347,4360
2016-07-25,4386.5,253962,4420,4365.5,63246,4375.5
2016-07-26,4394.5,252761,4406,4352,69169,4393.5
2016-07-27,4446.5,256497,4470.5,4407.5,81371,4410
2016-07-28,4421,263191,4476.5,4416.5,75283,4442
2016-07-29,4439.5,266953,4456,4407,66891,4444
2016-08-01,4408.5,260617,4463,4384.5,51365,4463
2016-08-02,4327.5,261138,4400,4314,85902,4394
2016-08-03,4321,268612,4349,4293,88002,4321.5
2016-08-04,4345,269384,4361.5,4322.5,67925,4348
2016-08-05,4410.5,264651,4417.5,4350.5,71184,4355.5
2016-08-08,4415.5,266710,4442,4406,51710,4424.5
2016-08-09,4468.5,261529,4469.5,4406.5,73555,4409
2016-08-10,4452.5,265409,4467,4439.5,53319,4455
2016-08-11,4504,260972,4508,4446,70296,4457
2016-08-12,4500.5,266281,4511,4488.5,62937,4501.5
2016-08-15,4498,258055,4528.5,4491.5,73943,4509.5
2016-08-16,4461,265250,4501,4456,235985,4484
2016-08-17,4418,292370,4481.5,4415,191306,4459.5
2016-08-18,4437,212522,4453,4413,85336,4453
2016-08-19,4378.6,74769,4442.5,4374.5,18278,4439.5
