Date,Settle,Open,High,Low,Volume,Interest
2016-11-21,4511.5,0.0,,,,
2016-11-22,4531.0,0.0,0.0,0.0,0.0,
2016-11-23,4511.5,0.0,0.0,0.0,0.0,
2016-11-24,4525.5,0.0,0.0,0.0,0.0,
2016-11-25,4532.5,4521.0,4521.0,4521.0,1.0,
2016-11-28,4493.5,4489.0,4508.0,4489.0,9.0,1.0
2016-11-29,4537.5,0.0,0.0,0.0,0.0,5.0
2016-11-30,4564.0,4562.5,4562.5,4562.5,1.0,4.0
2016-12-01,4546.5,4540.0,4540.0,4540.0,1.0,5.0
2016-12-02,4515.0,0.0,0.0,0.0,0.0,5.0
2016-12-05,4561.5,4563.5,4563.5,4549.5,10.0,4.0
2016-12-06,4619.5,4572.0,4617.5,4552.0,19.0,9.0
2016-12-07,4682.5,4652.0,4675.5,4652.0,59.0,22.0
2016-12-08,4723.0,4685.0,4735.0,4685.0,11.0,79.0
2016-12-09,4751.5,0.0,0.0,0.0,0.0,74.0
2016-12-12,4749.0,4750.0,4750.0,4750.0,1.0,74.0
2016-12-13,4792.0,4746.5,4746.5,4746.5,1.0,75.0
2016-12-14,4757.5,4771.0,4793.5,4760.0,28.0,75.0
2016-12-15,4808.5,4792.0,4810.0,4791.5,4.0,74.0
2016-12-16,4821.5,4801.0,4837.0,4794.5,18.0,95.0
2016-12-19,4814.0,4816.5,4817.0,4816.0,3.0,104.0
2016-12-20,4841.5,4826.0,4841.5,4820.0,33.0,100.0
2016-12-21,4832.5,4833.0,4848.5,4821.0,47.0,121.0
2016-12-22,4833.5,4828.0,4829.0,4824.5,52.0,167.0
2016-12-23,4838.0,4839.0,4843.5,4835.5,43.0,182.0
2016-12-27,4847.5,4848.0,4848.0,4848.0,7.0,181.0
2016-12-28,4847.0,4845.0,4845.0,4828.5,3518.0,188.0
2016-12-29,4838.0,4825.5,4844.0,4825.5,19.0,3703.0
2016-12-30,4861.0,4839.0,4862.0,4839.0,69.0,3708.0
2017-01-02,4880.5,4856.0,4886.0,4856.0,77.0,3750.0
2017-01-03,4896.0,4899.0,4925.0,4892.0,468.0,3806.0
2017-01-04,4896.5,4903.0,4903.0,4885.0,36.0,3830.0
2017-01-05,4898.0,4896.5,4898.0,4888.5,93.0,3844.0
2017-01-06,4907.0,4884.5,4912.0,4883.0,567.0,3945.0
2017-01-09,4884.5,4919.0,4919.0,4865.0,4789.0,4091.0
2017-01-10,4885.0,4881.0,4893.0,4866.5,314.0,7330.0
2017-01-11,4886.0,4883.5,4908.5,4855.0,526.0,7414.0
