Date,Settle,Open,High,Low,Volume,Prev. Day Open Interest
2016-12-19,3158.0,0.0,0.0,0.0,0.0,0.0
2016-12-20,3181.0,0.0,0.0,0.0,0.0,0.0
2016-12-21,3173.0,0.0,0.0,0.0,0.0,0.0
2016-12-22,3168.0,0.0,0.0,0.0,0.0,0.0
2016-12-23,3175.0,0.0,0.0,0.0,0.0,0.0
2016-12-27,3182.0,0.0,0.0,0.0,0.0,0.0
2016-12-28,3180.0,0.0,0.0,0.0,0.0,0.0
2016-12-29,3173.0,0.0,0.0,0.0,0.0,0.0
2016-12-30,3189.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,3207.0,3206.0,3206.0,3206.0,1.0,1.0
2017-01-03,3218.0,3222.0,3233.0,3221.0,5.0,6.0
2017-01-04,3216.0,3225.0,3225.0,3205.0,9.0,12.0
2017-01-05,3216.0,3206.0,3221.0,3206.0,6.0,13.0
2017-01-06,3225.0,3221.0,3227.0,3221.0,6.0,14.0
2017-01-09,3213.0,3232.0,3232.0,3203.0,6.0,12.0
2017-01-10,3212.0,3217.0,3218.0,3200.0,5.0,16.0
2017-01-11,3210.0,3198.0,3215.0,3192.0,25.0,33.0
