Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2015-03-30,1196.2,,,,0.0,,0.0,0.0
2015-03-31,1193.7,,,,2.5,,0.0,0.0
2015-04-01,1218.5,,,,24.8,,0.0,0.0
2015-04-02,1211.7,,,,6.8,,0.0,0.0
2015-04-06,1229.1,,,,17.4,,0.0,0.0
2015-04-07,1221.7,,,,7.4,,0.0,0.0
2015-04-08,1214.4,,,,7.3,,0.0,0.0
2015-04-09,1205.1,,,,9.3,,0.0,0.0
2015-04-10,1216.4,,,,11.3,,0.0,0.0
2015-04-13,1210.9,,,,5.5,,0.0,0.0
2015-04-14,1203.2,,1203.5,,7.7,,0.0,0.0
2015-04-15,1212.1,,,,8.9,,209.0,0.0
2015-04-16,1208.9,,,,3.2,,0.0,150.0
2015-04-17,1214.4,,,,5.5,,0.0,150.0
2015-04-20,1205.2,,,,9.2,,0.0,150.0
2015-04-21,1214.8,,,,9.6,,0.0,150.0
2015-04-22,1198.6,,,,16.2,,0.0,150.0
2015-04-23,1205.9,,,,7.3,,0.0,150.0
2015-04-24,1185.8,,,,20.1,,0.0,150.0
2015-04-27,1214.3,1212.9,1212.8,,28.5,1212.9,2.0,150.0
2015-04-28,1225.6,,,,11.3,,0.0,152.0
2015-04-29,1221.9,,,,3.7,,1.0,152.0
2015-04-30,1194.3,,,,27.6,,0.0,152.0
2015-05-01,1186.6,,,,7.7,,0.0,152.0
2015-05-04,1199.1,,,,12.5,,0.0,152.0
2015-05-05,1205.7,,,,6.6,,0.0,152.0
2015-05-06,1202.8,1203.4,1203.4,,2.9,1203.4,2.0,152.0
2015-05-07,1194.6,,,,8.2,,0.0,150.0
2015-05-08,1200.2,,,,5.6,,1.0,150.0
2015-05-11,1194.5,,,,5.7,,0.0,151.0
2015-05-12,1203.9,,,,9.4,,0.0,151.0
2015-05-13,1229.5,,,,25.6,,1.0,151.0
2015-05-14,1236.4,,,,6.9,,0.0,151.0
2015-05-15,1236.3,,,,0.1,,0.0,151.0
2015-05-18,1238.6,,,,2.3,,0.0,151.0
2015-05-19,1218.3,,,,20.3,,5.0,151.0
2015-05-20,1220.4,,,,2.1,,0.0,151.0
2015-05-21,1215.5,,,,4.9,,0.0,151.0
2015-05-22,1216.2,,,,0.7,,0.0,151.0
2015-05-26,1198.9,,,,17.3,,0.0,151.0
2015-05-27,1197.8,,,,1.1,,0.0,151.0
2015-05-28,1199.7,1200.8,1197.0,,1.9,1200.8,3.0,151.0
2015-05-29,1200.6,,,,0.9,,0.0,151.0
2015-06-01,1200.0,,,,0.6,,54.0,151.0
2015-06-02,1205.8,,,,5.8,,0.0,151.0
2015-06-03,1196.7,,,,9.1,,2.0,151.0
2015-06-04,1186.9,,,,9.8,,0.0,151.0
2015-06-05,1180.5,,,,6.4,,0.0,151.0
2015-06-08,1185.9,,,,5.4,,0.0,151.0
2015-06-09,1190.2,,,,4.3,,0.0,151.0
2015-06-10,1199.5,1200.5,1200.5,,9.3,1200.5,1.0,151.0
2015-06-11,1193.5,,,,6.0,,0.0,151.0
2015-06-12,1192.6,,,,0.9,,0.0,151.0
2015-06-15,1199.2,,,,6.6,,0.0,151.0
2015-06-16,1194.0,,,,5.2,,0.0,151.0
2015-06-17,1190.2,,,,3.8,,0.0,151.0
2015-06-18,1214.5,,,,24.3,,0.0,151.0
2015-06-19,1213.9,,,,0.6,,0.0,151.0
2015-06-22,1196.5,,,,17.4,,0.0,151.0
2015-06-23,1189.2,,,,7.3,,0.0,151.0
2015-06-24,1185.4,1184.0,1184.0,,3.8,1184.0,1.0,151.0
2015-06-25,1184.6,,,,0.8,,0.0,152.0
2015-06-26,1186.4,,,,1.8,,0.0,152.0
2015-06-29,1191.8,,,,5.4,,0.0,152.0
2015-06-30,1184.6,,,,7.2,,0.0,152.0
2015-07-01,1182.5,,,,2.1,,0.0,152.0
2015-07-02,1176.1,,,,6.4,,5.0,152.0
2015-07-06,1185.4,,,,9.3,,0.0,152.0
2015-07-07,1164.3,,,,21.1,,0.0,152.0
2015-07-08,1175.1,,,,10.8,,0.0,152.0
2015-07-09,1171.2,,,,3.9,,0.0,152.0
2015-07-10,1170.7,,,,0.5,,0.0,152.0
2015-07-13,1168.4,,,,2.3,,0.0,152.0
2015-07-14,1166.1,,,,2.3,,0.0,152.0
2015-07-15,1160.0,,,,6.1,,0.0,152.0
2015-07-16,1156.7,,,,3.3,,0.0,152.0
2015-07-17,1144.2,,1143.8,1143.8,12.5,,0.0,152.0
2015-07-20,1118.9,,,,25.3,,0.0,152.0
2015-07-21,1114.9,,,,4.0,,0.0,152.0
2015-07-22,1103.0,,,,11.9,,0.0,152.0
2015-07-23,1105.5,,,,2.5,,0.0,152.0
2015-07-24,1096.1,,,,9.4,,0.0,152.0
2015-07-27,1106.9,,,,10.8,,0.0,152.0
2015-07-28,1106.9,,,,,,0.0,152.0
2015-07-29,1103.7,,,,3.2,,0.0,152.0
2015-07-30,1099.3,,,,4.4,,3.0,152.0
2015-07-31,1105.0,,,,5.7,,0.0,152.0
2015-08-03,1099.1,,,,5.9,,4.0,152.0
2015-08-04,1100.5,1101.6,1101.6,1101.6,1.4,1101.6,27.0,156.0
2015-08-05,1095.8,,,,4.7,,0.0,156.0
2015-08-06,1100.3,,,,4.5,,0.0,156.0
2015-08-07,1104.5,,,,4.2,,1.0,156.0
2015-08-10,1114.5,,,,10.0,,0.0,156.0
2015-08-11,1117.6,,,,3.1,,0.0,156.0
2015-08-12,1133.5,1125.5,1120.1,1125.5,15.9,1120.1,4.0,156.0
2015-08-13,1125.6,,,,7.9,,0.0,156.0
2015-08-14,1122.8,,,,2.8,,0.0,156.0
2015-08-17,1128.4,,,,5.6,,0.0,156.0
2015-08-18,1126.9,,,,1.5,,0.0,156.0
2015-08-19,1137.8,,,,10.9,,0.0,156.0
