Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2016-02-12,80.6,,,,,,0.0,0.0
2016-02-16,80.0,,,,0.6,,0.0,0.0
2016-02-17,79.7,,,,0.3,,0.0,0.0
2016-02-18,78.5,,,,1.2,,0.0,0.0
2016-02-19,77.3,,,,1.2,,0.0,0.0
2016-02-22,77.45,,,,0.15,,0.0,0.0
2016-02-23,77.45,,,,,,0.0,0.0
2016-02-24,77.4,,,,0.05,,0.0,0.0
2016-02-25,77.15,,,,0.25,,0.0,0.0
2016-02-26,77.375,,,,0.225,,0.0,0.0
2016-02-29,77.375,,,,,,0.0,0.0
2016-03-01,77.05,,,,0.325,,0.0,0.0
2016-03-02,77.175,,,,0.125,,0.0,0.0
2016-03-03,76.95,,,,0.225,,0.0,0.0
2016-03-04,77.175,,,,0.225,,0.0,0.0
2016-03-07,77.175,,,,,,0.0,0.0
2016-03-08,77.175,,,,,,0.0,0.0
2016-03-09,76.925,,,,0.25,,0.0,0.0
2016-03-10,76.925,,,,,,0.0,0.0
2016-03-11,76.925,,,,,,0.0,0.0
2016-03-14,76.925,,,,,,0.0,0.0
2016-03-15,76.925,,,,,,0.0,0.0
2016-03-16,76.9,,,,0.025,,0.0,0.0
2016-03-17,76.775,,,,0.125,,0.0,0.0
2016-03-18,76.575,,,,0.2,,0.0,0.0
2016-03-21,76.0,,,,0.575,,0.0,0.0
2016-03-22,76.45,,,,0.45,,0.0,0.0
2016-03-23,76.5,,,,0.05,,0.0,0.0
2016-03-24,76.0,76.0,76.0,76.0,0.5,76.0,5.0,0.0
2016-03-28,76.0,76.0,76.0,76.0,,76.0,2.0,4.0
2016-03-29,76.225,,,,0.225,,2.0,5.0
2016-03-30,76.075,,,,0.15,,0.0,5.0
2016-03-31,75.75,,,,0.325,,0.0,5.0
2016-04-01,75.3,,,,0.45,,0.0,5.0
2016-04-04,75.5,,,,0.2,,0.0,5.0
2016-04-05,75.6,75.6,75.6,75.6,0.1,75.6,20.0,5.0
2016-04-06,75.8,,,,0.2,,0.0,25.0
2016-04-07,76.05,,,,0.25,,0.0,25.0
2016-04-08,76.3,,,,0.25,,0.0,25.0
2016-04-11,76.325,,,,0.025,,0.0,25.0
2016-04-12,76.5,76.5,76.5,76.5,0.175,76.5,4.0,25.0
2016-04-13,76.275,,,,0.225,,0.0,29.0
2016-04-14,76.275,,,,,,0.0,29.0
2016-04-15,76.425,,,,0.15,,0.0,29.0
2016-04-18,76.425,,,,,,0.0,29.0
2016-04-19,76.5,76.5,76.5,76.5,0.075,76.5,20.0,29.0
2016-04-20,76.5,,,,,,0.0,29.0
2016-04-21,76.5,,,,,,0.0,29.0
2016-04-22,76.325,,,,0.175,,0.0,29.0
2016-04-25,76.35,,,,0.025,,0.0,29.0
2016-04-26,76.5,76.5,76.5,76.5,0.15,76.5,6.0,29.0
2016-04-27,76.75,76.75,76.5,76.75,0.25,76.5,26.0,35.0
2016-04-28,76.825,76.9,,76.9,0.075,,2.0,54.0
2016-04-29,77.15,77.15,,77.15,0.325,,0.0,54.0
2016-05-02,77.35,77.35,,77.35,0.2,,0.0,54.0
2016-05-03,77.45,77.45,,77.45,0.1,,0.0,54.0
2016-05-04,77.75,77.75,77.45,77.75,0.3,77.45,3.0,54.0
