Date,Settle,High,Low,Last,Change,Open,Volume,Open Interest
2015-06-26,680.8,,,,0.0,,0.0,0.0
2015-06-29,668.55,,,,12.25,,0.0,0.0
2015-06-30,674.65,,,,6.1,,0.0,0.0
2015-07-01,703.25,,,,28.6,,0.0,0.0
2015-07-02,696.2,,,,7.05,,0.0,0.0
2015-07-06,678.2,,,,18.0,,0.0,0.0
2015-07-07,654.55,,,,23.65,,0.0,0.0
2015-07-08,655.85,,,,1.3,,0.0,0.0
2015-07-09,640.35,,,,15.5,,0.0,0.0
2015-07-10,652.6,,,,12.25,,0.0,0.0
2015-07-14,659.05,,,,1.85,,0.0,0.0
2015-07-15,644.9,,,,14.15,,0.0,0.0
2015-07-16,634.05,,,,10.85,,0.0,0.0
2015-07-17,621.1,,,,12.95,,0.0,0.0
2015-07-20,614.35,,,,6.75,,0.0,0.0
2015-07-21,631.5,,,,17.15,,0.0,0.0
2015-07-22,628.7,,,,2.8,,0.0,0.0
2015-07-23,619.75,,,,8.95,,0.0,0.0
2015-07-24,624.5,,,,4.75,,0.0,0.0
2015-07-27,614.7,,,,9.8,,0.0,0.0
2015-07-28,623.35,,,,8.65,,0.0,0.0
2015-07-29,617.4,,,,5.95,,0.0,0.0
2015-07-30,622.25,,,,4.85,,0.0,0.0
2015-07-31,612.4,,,,9.85,,0.0,0.0
2015-08-03,604.95,,,,7.45,,0.0,0.0
2015-08-04,600.35,,,,4.6,,0.0,0.0
2015-08-05,594.8,,,,5.55,,0.0,0.0
2015-08-06,601.5,,,,6.7,,0.0,0.0
2015-08-07,598.6,,,,2.9,,0.0,0.0
2015-08-10,607.7,,,,9.1,,0.0,0.0
2015-08-11,600.7,,,,7.0,,0.0,0.0
2015-08-12,624.55,,,,23.85,,0.0,0.0
2015-08-13,617.15,,,,7.4,,0.0,0.0
2015-08-14,618.85,,,,1.7,,0.0,0.0
2015-08-17,615.1,,,,3.75,,0.0,0.0
2015-08-18,598.15,,,,16.95,,0.0,0.0
2015-08-19,610.35,,,,12.2,,0.0,0.0
2015-08-20,624.3,,,,13.95,,0.0,0.0
2015-08-21,605.5,,,,18.8,,0.0,0.0
2015-08-24,575.85,,,,29.65,,0.0,0.0
2015-08-25,540.15,,,,35.7,,0.0,0.0
2015-08-26,529.9,,,,10.25,,0.0,0.0
2015-08-27,568.8,,,,38.9,,0.0,0.0
