Date,Settle,High,Low,Open,Volume,Prev. Day Open Interest
2016-01-22,25.95,26.0,25.75,25.85,694.0,200.0
2016-01-25,25.9,25.8,25.7,25.75,19.0,727.0
2016-01-26,26.05,26.05,25.85,25.85,43.0,726.0
2016-01-27,25.95,26.45,25.8,25.95,141.0,722.0
2016-01-28,26.15,26.3,25.9,25.95,39.0,721.0
2016-01-29,25.85,0.0,0.0,0.0,0.0,721.0
2016-02-01,25.65,0.0,0.0,0.0,0.0,721.0
2016-02-02,26.05,26.15,25.85,25.85,160.0,721.0
2016-02-03,26.4,26.5,26.25,26.35,488.0,731.0
2016-02-04,26.3,26.45,26.0,26.15,161.0,826.0
2016-02-05,26.4,26.7,26.1,26.3,136.0,918.0
2016-02-08,27.15,27.35,26.75,26.75,300.0,987.0
2016-02-09,27.5,27.75,27.2,27.2,83.0,1249.0
2016-02-10,27.4,27.35,27.2,27.3,295.0,1259.0
2016-02-11,29.1,28.75,28.05,28.25,1508.0,1074.0
2016-02-12,28.75,28.9,28.75,28.85,357.0,1268.0
2016-02-15,28.35,28.4,28.2,28.4,10.0,1276.0
2016-02-16,28.3,28.2,28.05,28.1,8.0,1273.0
2016-02-17,27.7,27.85,26.75,26.75,139.0,1274.0
2016-02-18,27.55,27.75,27.45,27.75,471.0,1295.0
2016-02-19,27.7,27.75,27.45,27.55,971.0,1255.0
2016-02-22,27.3,27.35,27.15,27.3,449.0,1661.0
2016-02-23,27.55,27.45,27.1,27.35,863.0,1650.0
2016-02-24,28.25,28.3,27.7,27.7,296.0,2114.0
2016-02-25,27.9,28.0,27.7,27.8,81.0,2148.0
2016-02-26,27.5,27.7,27.35,27.55,190.0,2144.0
2016-02-29,27.45,27.95,27.55,27.85,64.0,2193.0
2016-03-01,26.95,27.35,26.7,27.2,164.0,2235.0
2016-03-02,26.55,26.7,26.5,26.6,64.0,2212.0
2016-03-03,26.35,27.75,26.2,27.75,67.0,2228.0
2016-03-04,26.0,26.35,25.95,26.35,48.0,2241.0
2016-03-07,26.3,26.55,26.2,26.25,108.0,2264.0
2016-03-08,26.5,26.65,26.35,26.5,195.0,2237.0
2016-03-09,26.75,26.8,26.35,26.65,39.0,2220.0
2016-03-10,26.85,27.05,25.95,26.8,663.0,2216.0
2016-03-11,26.4,26.65,26.25,26.5,424.0,2358.0
2016-03-14,25.95,26.15,25.95,26.15,153.0,2501.0
2016-03-15,26.1,26.15,26.0,26.1,187.0,2583.0
2016-03-16,26.05,25.95,25.9,25.95,6.0,2581.0
2016-03-17,25.95,26.15,25.8,25.9,757.0,2576.0
2016-03-18,25.45,25.7,25.3,25.7,326.0,2972.0
2016-03-21,25.45,25.55,25.15,25.5,678.0,3199.0
2016-03-22,25.65,25.65,25.55,25.55,158.0,3245.0
2016-03-23,25.55,25.7,25.35,25.35,64.0,3172.0
2016-03-24,25.95,25.9,25.75,25.85,297.0,3163.0
2016-03-29,25.7,25.85,25.1,25.7,130.0,3334.0
2016-03-30,25.2,25.3,25.1,25.25,216.0,3416.0
2016-03-31,25.35,25.4,25.25,25.35,354.0,3510.0
2016-04-01,25.55,25.85,25.4,25.7,583.0,3793.0
2016-04-04,25.2,25.5,25.1,25.35,321.0,4077.0
2016-04-05,25.85,25.95,25.45,25.6,1040.0,4054.0
2016-04-06,25.6,25.85,25.6,25.7,351.0,4187.0
2016-04-07,25.9,26.05,25.5,25.5,115.0,4247.0
2016-04-08,25.8,25.95,25.6,25.7,328.0,4205.0
2016-04-11,25.75,25.95,25.45,25.95,326.0,4217.0
2016-04-12,25.85,26.05,25.75,26.0,301.0,4337.0
2016-04-13,25.5,25.55,25.4,25.45,2114.0,4465.0
2016-04-14,25.4,25.5,25.35,25.35,1281.0,5189.0
2016-04-15,25.5,25.6,25.4,25.5,2756.0,5340.0
2016-04-18,25.0,25.65,24.95,25.65,787.0,6073.0
2016-04-19,24.5,24.75,24.45,24.7,564.0,6409.0
2016-04-20,24.5,24.8,24.5,24.75,863.0,6240.0
2016-04-21,24.55,24.9,24.55,24.75,1109.0,6406.0
2016-04-22,24.9,25.05,24.8,24.8,258.0,7089.0
2016-04-25,25.1,25.1,24.95,25.05,77.0,7121.0
2016-04-26,24.95,25.0,24.8,24.8,290.0,7133.0
2016-04-27,24.8,25.0,24.6,24.95,406.0,7374.0
2016-04-28,24.65,25.3,24.55,25.05,278.0,7306.0
2016-04-29,25.6,25.8,24.95,25.05,305.0,7148.0
2016-05-02,25.65,25.65,25.4,25.55,149.0,7229.0
2016-05-03,26.0,26.1,25.6,25.6,353.0,7306.0
2016-05-04,26.55,26.6,25.95,25.95,382.0,7327.0
2016-05-05,26.35,26.55,26.15,26.4,734.0,7425.0
2016-05-06,26.3,26.7,26.05,26.5,258.0,7930.0
2016-05-09,25.95,26.25,25.75,26.05,233.0,8079.0
2016-05-10,25.45,25.55,25.4,25.45,510.0,8265.0
2016-05-11,25.3,25.65,25.3,25.5,811.0,8633.0
2016-05-12,25.5,25.7,25.05,25.65,1271.0,8910.0
2016-05-13,25.3,25.75,25.25,25.65,588.0,9691.0
2016-05-16,25.3,25.65,25.2,25.6,99.0,9754.0
2016-05-17,25.35,25.6,24.9,25.15,126.0,9628.0
2016-05-18,25.4,25.55,25.35,25.55,457.0,9627.0
2016-05-19,25.8,25.8,25.45,25.65,748.0,9782.0
2016-05-20,25.55,25.55,25.3,25.3,591.0,10052.0
2016-05-23,25.4,25.5,25.25,25.5,259.0,9897.0
2016-05-24,24.75,25.25,24.45,25.25,450.0,10009.0
2016-05-25,24.3,24.45,24.25,24.35,624.0,10094.0
2016-05-26,24.35,24.45,24.25,24.25,1796.0,9956.0
2016-05-27,24.5,24.6,24.25,24.25,704.0,11460.0
2016-05-30,24.35,24.35,24.3,24.3,29.0,11352.0
